date,beePop,state
1978,45,Alabama
1978,60,Arizona
1978,45,Arkansas
1978,504,California
1978,41,Colorado
1978,8,Connecticut
1978,4,Delaware
1978,356,Florida
1978,150,Georgia
1978,7,Hawaii
1978,100,Idaho
1978,38,Illinois
1978,76,Indiana
1978,86,Iowa
1978,43,Kansas
1978,46,Kentucky
1978,31,Louisiana
1978,5,Maine
1978,13,Maryland
1978,12,Massachusetts
1978,103,Michigan
1978,145,Minnesota
1978,52,Mississippi
1978,112,Missouri
1978,99,Montana
1978,127,Nebraska
1978,9,Nevada
1978,4,New Hampshire
1978,35,New Jersey
1978,13,New Mexico
1978,110,New York
1978,190,North Carolina
1978,160,North Dakota
1978,89,Ohio
1978,60,Oklahoma
1978,60,Oregon
1978,78,Pennsylvania
1978,1,Rhode Island
1978,56,South Carolina
1978,171,South Dakota
1978,140,Tennessee
1978,185,Texas
1978,47,Utah
1978,9,Vermont
1978,77,Virginia
1978,82,Washington
1978,93,West Virginia
1978,124,Wisconsin
1978,41,Wyoming
1979,45,Alabama
1979,65,Arizona
1979,35,Arkansas
1979,504,California
1979,39,Colorado
1979,8,Connecticut
1979,4,Delaware
1979,360,Florida
1979,161,Georgia
1979,7,Hawaii
1979,101,Idaho
1979,36,Illinois
1979,75,Indiana
1979,83,Iowa
1979,40,Kansas
1979,52,Kentucky
1979,31,Louisiana
1979,5,Maine
1979,14,Maryland
1979,12,Massachusetts
1979,106,Michigan
1979,149,Minnesota
1979,49,Mississippi
1979,124,Missouri
1979,103,Montana
1979,130,Nebraska
1979,12,Nevada
1979,4,New Hampshire
1979,34,New Jersey
1979,14,New Mexico
1979,113,New York
1979,180,North Carolina
1979,190,North Dakota
1979,83,Ohio
1979,55,Oklahoma
1979,57,Oregon
1979,74,Pennsylvania
1979,1,Rhode Island
1979,59,South Carolina
1979,204,South Dakota
1979,135,Tennessee
1979,190,Texas
1979,46,Utah
1979,9,Vermont
1979,78,Virginia
1979,80,Washington
1979,104,West Virginia
1979,135,Wisconsin
1979,39,Wyoming
1980,44,Alabama
1980,70,Arizona
1980,32,Arkansas
1980,504,California
1980,45,Colorado
1980,8,Connecticut
1980,4,Delaware
1980,350,Florida
1980,161,Georgia
1980,7,Hawaii
1980,109,Idaho
1980,38,Illinois
1980,76,Indiana
1980,85,Iowa
1980,43,Kansas
1980,52,Kentucky
1980,31,Louisiana
1980,5,Maine
1980,14,Maryland
1980,12,Massachusetts
1980,102,Michigan
1980,180,Minnesota
1980,45,Mississippi
1980,124,Missouri
1980,103,Montana
1980,120,Nebraska
1980,11,Nevada
1980,4,New Hampshire
1980,43,New Jersey
1980,13,New Mexico
1980,117,New York
1980,170,North Carolina
1980,220,North Dakota
1980,82,Ohio
1980,44,Oklahoma
1980,58,Oregon
1980,80,Pennsylvania
1980,1,Rhode Island
1980,57,South Carolina
1980,184,South Dakota
1980,145,Tennessee
1980,198,Texas
1980,46,Utah
1980,9,Vermont
1980,77,Virginia
1980,85,Washington
1980,67,West Virginia
1980,125,Wisconsin
1980,41,Wyoming
1981,47,Alabama
1981,64,Arizona
1981,31,Arkansas
1981,500,California
1981,41,Colorado
1981,8,Connecticut
1981,4,Delaware
1981,360,Florida
1981,145,Georgia
1981,7,Hawaii
1981,108,Idaho
1981,41,Illinois
1981,76,Indiana
1981,88,Iowa
1981,40,Kansas
1981,56,Kentucky
1981,37,Louisiana
1981,8,Maine
1981,15,Maryland
1981,11,Massachusetts
1981,98,Michigan
1981,190,Minnesota
1981,41,Mississippi
1981,128,Missouri
1981,108,Montana
1981,122,Nebraska
1981,12,Nevada
1981,4,New Hampshire
1981,38,New Jersey
1981,14,New Mexico
1981,115,New York
1981,187,North Carolina
1981,265,North Dakota
1981,85,Ohio
1981,48,Oklahoma
1981,59,Oregon
1981,85,Pennsylvania
1981,1,Rhode Island
1981,52,South Carolina
1981,180,South Dakota
1981,150,Tennessee
1981,190,Texas
1981,46,Utah
1981,9,Vermont
1981,77,Virginia
