ST,state,Temp,date
AL,Alabama,61.9,1978
AL,Alabama,61.4,1979
AL,Alabama,62.5,1980
AL,Alabama,62,1981
AL,Alabama,63.3,1982
AL,Alabama,61.2,1983
AL,Alabama,62.8,1984
AL,Alabama,62.8,1985
AL,Alabama,64.1,1986
AL,Alabama,63,1987
AL,Alabama,62.1,1988
AL,Alabama,62.2,1989
AL,Alabama,64.9,1990
AL,Alabama,64,1991
AL,Alabama,62.1,1992
AL,Alabama,62.3,1993
AL,Alabama,63.1,1994
AL,Alabama,63,1995
AL,Alabama,62.1,1996
AL,Alabama,62.4,1997
AL,Alabama,65.1,1998
AL,Alabama,64.1,1999
AL,Alabama,63.6,2000
AL,Alabama,63,2001
AL,Alabama,63.6,2002
AL,Alabama,62.7,2003
AL,Alabama,63.3,2004
AL,Alabama,63.4,2005
AL,Alabama,64.2,2006
AL,Alabama,64.4,2007
AL,Alabama,62.9,2008
AL,Alabama,62.9,2009
AL,Alabama,62.7,2010
AL,Alabama,63.8,2011
AL,Alabama,64.9,2012
AL,Alabama,62.6,2013
AL,Alabama,62,2014
AL,Alabama,64.6,2015
AL,Alabama,65.3,2016
AL,Alabama,65,2017
AK,Alaska,29.1,1978
AK,Alaska,27.6,1979
AK,Alaska,26.4,1980
AK,Alaska,29.2,1981
AK,Alaska,25.3,1982
AK,Alaska,26.9,1983
AK,Alaska,25.2,1984
AK,Alaska,26.3,1985
AK,Alaska,26.9,1986
AK,Alaska,27.5,1987
AK,Alaska,27.1,1988
AK,Alaska,26.8,1989
AK,Alaska,25.4,1990
AK,Alaska,27.0,1991
AK,Alaska,25.0,1992
AK,Alaska,29.9,1993
AK,Alaska,26.2,1994
AK,Alaska,27.8,1995
AK,Alaska,25.1,1996
AK,Alaska,28.1,1997
AK,Alaska,28.4,1998
AK,Alaska,24.0,1999
AK,Alaska,28.4,2000
AK,Alaska,27.3,2001
AK,Alaska,30.1,2002
AK,Alaska,29.1,2003
AK,Alaska,29.3,2004
AK,Alaska,29.2,2005
AK,Alaska,26.4,2006
AK,Alaska,28.1,2007
AK,Alaska,25.1,2008
AK,Alaska,26.8,2009
AK,Alaska,27.4,2010
AK,Alaska,27.0,2011
AK,Alaska,24.3,2012
AK,Alaska,27.8,2013
AK,Alaska,30.3,2014
AK,Alaska,30.0,2015
AK,Alaska,31.9,2016
AK,Alaska,29.3,2017
AR,Arkansas,58.9,1978
AR,Arkansas,58,1979
AR,Arkansas,60.5,1980
AR,Arkansas,60.2,1981
AR,Arkansas,60,1982
AR,Arkansas,58.9,1983
AR,Arkansas,60,1984
AR,Arkansas,59.8,1985
AR,Arkansas,61.5,1986
AR,Arkansas,61,1987
AR,Arkansas,59.8,1988
AR,Arkansas,59,1989
AR,Arkansas,61.8,1990
AR,Arkansas,61.3,1991
AR,Arkansas,59.9,1992
AR,Arkansas,59.3,1993
AR,Arkansas,60.4,1994
AR,Arkansas,60.5,1995
AR,Arkansas,59.6,1996
AR,Arkansas,59.7,1997
AR,Arkansas,63.1,1998
AR,Arkansas,62.1,1999
AR,Arkansas,60.9,2000
AR,Arkansas,61.2,2001
AR,Arkansas,60.6,2002
AR,Arkansas,60.3,2003
AR,Arkansas,61,2004
AR,Arkansas,62,2005
AR,Arkansas,62,2006
AR,Arkansas,61.8,2007
AR,Arkansas,59.9,2008
AR,Arkansas,59.9,2009
AR,Arkansas,61.2,2010
AR,Arkansas,61.8,2011
AR,Arkansas,63.6,2012
AR,Arkansas,59.6,2013
AR,Arkansas,58.7,2014
AR,Arkansas,61.4,2015
AR,Arkansas,62.8,2016
AR,Arkansas,62.5,2017
AZ,Arizona,59.8,1978
AZ,Arizona,58.8,1979
AZ,Arizona,60.2,1980
AZ,Arizona,61.3,1981
AZ,Arizona,58.7,1982
AZ,Arizona,59.2,1983
AZ,Arizona,59.4,1984
AZ,Arizona,59.6,1985
AZ,Arizona,60.6,1986
AZ,Arizona,59.3,1987
AZ,Arizona,60.2,1988
AZ,Arizona,61.2,1989
AZ,Arizona,59.7,1990
AZ,Arizona,59.2,1991
AZ,Arizona,59.6,1992
AZ,Arizona,59.8,1993
AZ,Arizona,60.6,1994
AZ,Arizona,61,1995
AZ,Arizona,61.9,1996
AZ,Arizona,60.5,1997
AZ,Arizona,59.3,1998
AZ,Arizona,60.8,1999
AZ,Arizona,61.7,2000
AZ,Arizona,61.2,2001
AZ,Arizona,61.2,2002
AZ,Arizona,61.9,2003
AZ,Arizona,60.4,2004
AZ,Arizona,61.1,2005
AZ,Arizona,61.1,2006
AZ,Arizona,61.6,2007
AZ,Arizona,60.6,2008
AZ,Arizona,61.1,2009
AZ,Arizona,60.4,2010
AZ,Arizona,60.3,2011
AZ,Arizona,62.1,2012
AZ,Arizona,60.4,2013
AZ,Arizona,62.2,2014
AZ,Arizona,61.8,2015
AZ,Arizona,62.2,2016
AZ,Arizona,63,2017
CA,California,57.6,1978
CA,California,57.7,1979
CA,California,58.1,1980
CA,California,59.3,1981
CA,California,56.3,1982
CA,California,57.6,1983
CA,California,58.2,1984
CA,California,57.3,1985
CA,California,58.9,1986
CA,California,58.3,1987
CA,California,58.7,1988
CA,California,58.1,1989
CA,California,58,1990
CA,California,58.1,1991
CA,California,59.3,1992
CA,California,57.7,1993
CA,California,58,1994
CA,California,58.9,1995
CA,California,59.6,1996
CA,California,59.1,1997
CA,California,56.7,1998
CA,California,58,1999
CA,California,58.8,2000
CA,California,59.1,2001
CA,California,58.8,2002
CA,California,59.4,2003
CA,California,58.9,2004
CA,California,58.6,2005
CA,California,58.6,2006
CA,California,58.9,2007
CA,California,58.9,2008
CA,California,58.8,2009
CA,California,57.7,2010
CA,California,57.4,2011
CA,California,59.5,2012
CA,California,59.3,2013
CA,California,61.4,2014
CA,California,60.8,2015
CA,California,60.1,2016
CA,California,60.3,2017
CO,Colorado,44.5,1978
CO,Colorado,43.5,1979
CO,Colorado,45.6,1980
CO,Colorado,47.1,1981
CO,Colorado,44.1,1982
CO,Colorado,44.4,1983
CO,Colorado,43.7,1984
CO,Colorado,44.1,1985
CO,Colorado,46.3,1986
CO,Colorado,45.2,1987
CO,Colorado,45.1,1988
CO,Colorado,45.4,1989
CO,Colorado,45.6,1990
CO,Colorado,45,1991
CO,Colorado,45.3,1992
CO,Colorado,43.8,1993
CO,Colorado,46.5,1994
CO,Colorado,45.7,1995
CO,Colorado,45.8,1996
CO,Colorado,44.8,1997
CO,Colorado,46.2,1998
CO,Colorado,46.6,1999
CO,Colorado,47,2000
CO,Colorado,46.8,2001
CO,Colorado,46.1,2002
CO,Colorado,47,2003
CO,Colorado,45.8,2004
CO,Colorado,46.8,2005
CO,Colorado,46.5,2006
CO,Colorado,46.2,2007
CO,Colorado,44.9,2008
CO,Colorado,45.2,2009
CO,Colorado,46.2,2010
CO,Colorado,45.4,2011
CO,Colorado,48.3,2012
CO,Colorado,45.1,2013
CO,Colorado,46.1,2014
CO,Colorado,47.4,2015
CO,Colorado,47.3,2016
CO,Colorado,47.9,2017
CT,Connecticut,46.7,1978
CT,Connecticut,48.8,1979
CT,Connecticut,47.9,1980
CT,Connecticut,48.4,1981
CT,Connecticut,47.9,1982
CT,Connecticut,49.4,1983
CT,Connecticut,49,1984
CT,Connecticut,48.7,1985
CT,Connecticut,48.5,1986
CT,Connecticut,48.8,1987
CT,Connecticut,48.3,1988
CT,Connecticut,47.9,1989
CT,Connecticut,51.1,1990
CT,Connecticut,51,1991
CT,Connecticut,47.7,1992
CT,Connecticut,48.6,1993
CT,Connecticut,48.9,1994
CT,Connecticut,49,1995
CT,Connecticut,48.4,1996
CT,Connecticut,48.6,1997
CT,Connecticut,51.6,1998
CT,Connecticut,50.8,1999
CT,Connecticut,48.5,2000
CT,Connecticut,50.2,2001
CT,Connecticut,50.5,2002
CT,Connecticut,48.2,2003
CT,Connecticut,48.8,2004
CT,Connecticut,49.5,2005
CT,Connecticut,51.1,2006
CT,Connecticut,49.5,2007
CT,Connecticut,49.7,2008
CT,Connecticut,48.8,2009
CT,Connecticut,51.4,2010
CT,Connecticut,50.9,2011
CT,Connecticut,52.5,2012
CT,Connecticut,49.8,2013
CT,Connecticut,48.7,2014
CT,Connecticut,49.8,2015
CT,Connecticut,51.8,2016
CT,Connecticut,50.9,2017
DE,Delaware,52.9,1978
DE,Delaware,53.8,1979
DE,Delaware,54.1,1980
DE,Delaware,53.6,1981
DE,Delaware,54,1982
DE,Delaware,54.9,1983
DE,Delaware,54.7,1984
DE,Delaware,55.3,1985
DE,Delaware,55.1,1986
DE,Delaware,54.9,1987
DE,Delaware,54.1,1988
DE,Delaware,54.2,1989
DE,Delaware,57.2,1990
DE,Delaware,56.9,1991
DE,Delaware,53.9,1992
DE,Delaware,54.8,1993
DE,Delaware,55,1994
DE,Delaware,55.1,1995
DE,Delaware,54,1996
DE,Delaware,54.8,1997
DE,Delaware,57.4,1998
DE,Delaware,56.5,1999
DE,Delaware,54.7,2000
DE,Delaware,56.1,2001
DE,Delaware,57.1,2002
DE,Delaware,54.6,2003
DE,Delaware,55.8,2004
DE,Delaware,55.7,2005
DE,Delaware,57.3,2006
DE,Delaware,56.3,2007
DE,Delaware,56.3,2008
DE,Delaware,55.4,2009
DE,Delaware,56.7,2010
DE,Delaware,57.4,2011
DE,Delaware,58.5,2012
DE,Delaware,55.8,2013
DE,Delaware,54.7,2014
DE,Delaware,56.4,2015
DE,Delaware,57.4,2016
DE,Delaware,57.5,2017
FL,Florida,69.7,1978
FL,Florida,69.9,1979
FL,Florida,69.9,1980
FL,Florida,69.3,1981
FL,Florida,71.5,1982
FL,Florida,69.3,1983
FL,Florida,70,1984
FL,Florida,70.8,1985
FL,Florida,71.5,1986
FL,Florida,70.2,1987
FL,Florida,69.7,1988
FL,Florida,71,1989
FL,Florida,72.5,1990
FL,Florida,71.8,1991
FL,Florida,70.3,1992
FL,Florida,70.3,1993
FL,Florida,71.6,1994
FL,Florida,70.8,1995
FL,Florida,69.9,1996
FL,Florida,71.1,1997
FL,Florida,72.5,1998
FL,Florida,71.2,1999
FL,Florida,70.6,2000
FL,Florida,70.9,2001
FL,Florida,71.3,2002
FL,Florida,70.9,2003
FL,Florida,70.8,2004
FL,Florida,70.8,2005
FL,Florida,71.4,2006
FL,Florida,71.8,2007
FL,Florida,70.8,2008
FL,Florida,71.2,2009
FL,Florida,69.2,2010
FL,Florida,71.7,2011
FL,Florida,71.9,2012
FL,Florida,71.7,2013
FL,Florida,70.6,2014
FL,Florida,73.4,2015
FL,Florida,72.5,2016
FL,Florida,72.7,2017
GA,Georgia,62.6,1978
GA,Georgia,62.3,1979
GA,Georgia,63,1980
GA,Georgia,62.4,1981
GA,Georgia,63.9,1982
GA,Georgia,61.9,1983
GA,Georgia,63.3,1984
GA,Georgia,63.8,1985
GA,Georgia,65,1986
GA,Georgia,63.3,1987
GA,Georgia,62.4,1988
GA,Georgia,63.2,1989
GA,Georgia,65.7,1990
GA,Georgia,64.5,1991
GA,Georgia,62.7,1992
GA,Georgia,63.2,1993
GA,Georgia,63.6,1994
GA,Georgia,63.5,1995
GA,Georgia,62.6,1996
GA,Georgia,63.2,1997
GA,Georgia,65.7,1998
GA,Georgia,64.5,1999
GA,Georgia,63.3,2000
GA,Georgia,63.9,2001
GA,Georgia,64.4,2002
GA,Georgia,63.3,2003
GA,Georgia,64,2004
GA,Georgia,63.8,2005
GA,Georgia,64.5,2006
GA,Georgia,64.8,2007
GA,Georgia,63.5,2008
GA,Georgia,63.4,2009
GA,Georgia,63,2010
GA,Georgia,64.6,2011
GA,Georgia,65.5,2012
GA,Georgia,63.4,2013
GA,Georgia,63,2014
GA,Georgia,65.3,2015
GA,Georgia,65.8,2016
GA,Georgia,65.8,2017
IA,Iowa,45.3,1978
IA,Iowa,45.1,1979
IA,Iowa,48,1980
IA,Iowa,49,1981
IA,Iowa,46.1,1982
IA,Iowa,47.6,1983
IA,Iowa,47.8,1984
IA,Iowa,45.9,1985
IA,Iowa,48.6,1986
IA,Iowa,51.2,1987
IA,Iowa,48.7,1988
IA,Iowa,46.6,1989
IA,Iowa,49.5,1990
IA,Iowa,48.6,1991
IA,Iowa,47.8,1992
IA,Iowa,45.7,1993
IA,Iowa,47.5,1994
IA,Iowa,47.3,1995
IA,Iowa,45.2,1996
IA,Iowa,47.1,1997
IA,Iowa,50.9,1998
IA,Iowa,49.7,1999
IA,Iowa,48.6,2000
IA,Iowa,49.1,2001
IA,Iowa,49.2,2002
IA,Iowa,47.9,2003
IA,Iowa,48.5,2004
