Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage
Albania,6,9,83.33%,,,,,,,,,,,,
Argentina,278,414,18.35%,,,,,,,,,,,,
Armenia,1,1,0%,,,,,,,,,,,,
Australia,603,640,65.51%,,,,,,,,,,,,
Austria,28,32,14.29%,,,,,,,,,,,,
Bahrain,1,1,0%,,,,,,,,,,,,
Bangladesh,0,0,0,,,,,,,,,,,,
Belgium,154,196,64.94%,,,,,,,,,,,,
Bhutan,1,1,0%,,,,,,,,,,,,
Bosnia and Herzegovina,4,5,50.00%,,,,,,,,,,,,
Botswana,1,1,0%,,,,,,,,,,,,
Brazil,"1,165","1,651",33.82%,,,,,,,,,,,,
Bulgaria,2,2,50.00%,,,,,,,,,,,,
Cambodia,1,1,0%,,,,,,,,,,,,
Canada,174,217,50.00%,,,,,,,,,,,,
Chile,230,334,64.35%,,,,,,,,,,,,
Colombia,21,27,19.05%,,,,,,,,,,,,
Costa Rica,9,14,11.11%,,,,,,,,,,,,
Croatia,7,14,42.86%,,,,,,,,,,,,
Cyprus,3,3,100.00%,,,,,,,,,,,,
Czech Republic,14,19,78.57%,,,,,,,,,,,,
Denmark,12,11,33.33%,,,,,,,,,,,,
Ecuador,2,1,0%,,,,,,,,,,,,
Egypt,6,6,0%,,,,,,,,,,,,
Estonia,6,7,33.33%,,,,,,,,,,,,
Finland,11,12,63.64%,,,,,,,,,,,,
France,"1,661","1,845",33.90%,,,,,,,,,,,,
Georgia,3,3,33.33%,,,,,,,,,,,,
Germany,"1,687","1,950",37.88%,,,,,,,,,,,,
Greece,115,148,50.43%,,,,,,,,,,,,
Greenland,2,2,0%,,,,,,,,,,,,
Hong Kong,25,326,88.00%,,,,,,,,,,,,
Hungary,38,51,28.95%,,,,,,,,,,,,
India,"3,598","4,711",53.56%,,,,,,,,,,,,
Ireland,35,36,62.86%,,,,,,,,,,,,
Israel,129,140,51.16%,,,,,,,,,,,,
Italy,"1,699","2,613",52.50%,,,,,,,,,,,,
Ivory Coast,1,1,100.00%,,,,,,,,,,,,
Kazakhstan,2,2,0%,,,,,,,,,,,,
Kosovo,1,2,100.00%,,,,,,,,,,,,
Kuwait,4,3,0%,,,,,,,,,,,,
Lebanon,12,12,0%,,,,,,,,,,,,
Lithuania,9,10,44.44%,,,,,,,,,,,,
Luxembourg,2,5,0%,,,,,,,,,,,,
Macau,1,1,0%,,,,,,,,,,,,
Macedonia,6,14,83.33%,,,,,,,,,,,,
Malaysia,16,24,18.75%,,,,,,,,,,,,
Malta,81,127,61.73%,,,,,,,,,,,,
Mexico,125,212,53.60%,,,,,,,,,,,,
Nepal,2,3,0%,,,,,,,,,,,,
Netherlands,23,28,36.36%,,,,,,,,,,,,
New Zealand,80,104,70.00%,,,,,,,,,,,,
Norway,15,14,13.33%,,,,,,,,,,,,
Oman,3,3,0%,,,,,,,,,,,,
Pakistan,126,163,47.62%,,,,,,,,,,,,
Palestine,4,4,0%,,,,,,,,,,,,
Peru,2,5,0%,,,,,,,,,,,,
Philippines,4,7,50.00%,,,,,,,,,,,,
Poland,220,192,15.45%,,,,,,,,,,,,
Portugal,148,175,25.00%,,,,,,,,,,,,
Qatar,3,5,0%,,,,,,,,,,,,
Romania,11,20,45.45%,,,,,,,,,,,,
Russia,1,1,0%,,,,,,,,,,,,
Serbia,1,2,100.00%,,,,,,,,,,,,
Singapore,141,142,70.92%,,,,,,,,,,,,
Slovenia,3,3,66.67%,,,,,,,,,,,,
South Africa,3,4,0%,,,,,,,,,,,,
South Korea,1,1,0%,,,,,,,,,,,,
Spain,404,811,39.60%,,,,,,,,,,,,
Sri Lanka,1,3,0%,,,,,,,,,,,,
Sudan,4,4,0%,,,,,,,,,,,,
Sweden,89,109,52.81%,,,,,,,,,,,,
Switzerland,34,43,17.65%,,,,,,,,,,,,
Taiwan,193,266,71.50%,,,,,,,,,,,,
Thailand,2,2,0%,,,,,,,,,,,,
Turkey,129,353,56.59%,,,,,,,,,,,,
Uganda,1,1,0%,,,,,,,,,,,,
United Arab Emirates,2,2,0%,,,,,,,,,,,,
United Kingdom,"1,906","2,277",71.30%,,,,,,,,,,,,
United States,"12,598","18,715",81.02%,486,556,39.51%,"5,814","9,122",84.81%,"5,379","7,943",80.20%,919,"1,094",83.79%
Uruguay,1,1,0%,,,,,,,,,,,,
