Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Afghanistan,1,5,0%,,,,,,,,,,,,,,,,,,,,,
Albania,5,15,80.00%,,,,,,,,,,,,,,,,,,,,,
Argentina,892,"1,047",71.30%,,,,,,,,,,,,,,,,,,,,,
Armenia,8,8,75.00%,,,,,,,,,,,,,,,,,,,,,
Australia,802,846,73.57%,,,,,,,,,,,,,,,,,,,,,
Austria,54,54,33.33%,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,4,4,0%,,,,,,,,,,,,,,,,,,,,,
Bangladesh,12,31,16.67%,,,,,,,,,,,,,,,,,,,,,
Belarus,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Belgium,290,375,77.24%,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,5,7,40.00%,,,,,,,,,,,,,,,,,,,,,
Brazil,"1,655","2,673",41.27%,,,,,,,,,,,,,,,,,,,,,
Brunei,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Canada,427,555,79.63%,,,,,,,,,,,,,,,,,,,,,
Chile,285,375,70.53%,,,,,,,,,,,,,,,,,,,,,
Colombia,142,252,58.45%,,,,,,,,,,,,,,,,,,,,,
Croatia,11,13,90.91%,,,,,,,,,,,,,,,,,,,,,
Cyprus,10,12,10.00%,,,,,,,,,,,,,,,,,,,,,
Czech Republic,17,18,41.18%,,,,,,,,,,,,,,,,,,,,,
Denmark,17,40,41.18%,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,98,116,59.18%,,,,,,,,,,,,,,,,,,,,,
Ecuador,33,49,72.73%,,,,,,,,,,,,,,,,,,,,,
Egypt,4,10,25.00%,,,,,,,,,,,,,,,,,,,,,
Estonia,21,22,66.67%,,,,,,,,,,,,,,,,,,,,,
Finland,39,69,71.79%,,,,,,,,,,,,,,,,,,,,,
France,"2,711","2,894",54.22%,,,,,,,,,,,,,,,,,,,,,
Georgia,4,4,75.00%,,,,,,,,,,,,,,,,,,,,,
Germany,"3,140","3,628",42.26%,,,,,,,,,,,,,,,,,,,,,
Greece,186,266,71.51%,,,,,,,,,,,,,,,,,,,,,
Guatemala,4,14,75.00%,,,,,,,,,,,,,,,,,,,,,
Hong Kong,113,176,61.95%,,,,,,,,,,,,,,,,,,,,,
Hungary,178,224,42.13%,,,,,,,,,,,,,,,,,,,,,
Iceland,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
India,"5,561","7,018",50.87%,,,,,,,,,,,,,,,,,,,,,
Indonesia,2,3,0%,,,,,,,,,,,,,,,,,,,,,
Iraq,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Ireland,56,55,69.64%,,,,,,,,,,,,,,,,,,,,,
Israel,294,340,59.52%,,,,,,,,,,,,,,,,,,,,,
Italy,"1,525","2,598",52.52%,,,,,,,,,,,,,,,,,,,,,
Japan,4,6,50.00%,,,,,,,,,,,,,,,,,,,,,
Jordan,20,23,15.00%,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,3,3,0%,,,,,,,,,,,,,,,,,,,,,
Kosovo,16,32,37.50%,,,,,,,,,,,,,,,,,,,,,
Kuwait,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Lebanon,7,13,71.43%,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,3,5,66.67%,,,,,,,,,,,,,,,,,,,,,
Lithuania,33,36,42.42%,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
Macau,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
Macedonia,19,40,73.68%,,,,,,,,,,,,,,,,,,,,,
Malaysia,13,18,76.92%,,,,,,,,,,,,,,,,,,,,,
Maldives,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Malta,151,168,72.19%,,,,,,,,,,,,,,,,,,,,,
Mexico,411,722,69.83%,,,,,,,,,,,,,,,,,,,,,
Moldova,1,0,0%,,,,,,,,,,,,,,,,,,,,,
Montenegro,17,56,47.06%,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0%,,,,,,,,,,,,,,,,,,,,,
Nepal,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Netherlands,158,190,79.11%,,,,,,,,,,,,,,,,,,,,,
New Zealand,167,204,59.28%,,,,,,,,,,,,,,,,,,,,,
Nigeria,1,96,100.00%,,,,,,,,,,,,,,,,,,,,,
Norway,29,44,48.28%,,,,,,,,,,,,,,,,,,,,,
Pakistan,471,706,66.45%,,,,,,,,,,,,,,,,,,,,,
Peru,28,46,60.71%,,,,,,,,,,,,,,,,,,,,,
Philippines,4,5,0%,,,,,,,,,,,,,,,,,,,,,
Poland,611,627,40.75%,,,,,,,,,,,,,,,,,,,,,
Portugal,545,623,30.09%,,,,,,,,,,,,,,,,,,,,,
Qatar,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Romania,11,18,9.09%,,,,,,,,,,,,,,,,,,,,,
Russia,4,4,0%,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,1,3,0%,,,,,,,,,,,,,,,,,,,,,
Senegal,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Serbia,27,35,81.48%,,,,,,,,,,,,,,,,,,,,,
Singapore,214,239,76.17%,,,,,,,,,,,,,,,,,,,,,
Slovenia,5,3,20.00%,,,,,,,,,,,,,,,,,,,,,
South Africa,1,1,0%,,,,,,,,,,,,,,,,,,,,,
South Korea,52,72,50.00%,,,,,,,,,,,,,,,,,,,,,
Spain,536,947,44.96%,,,,,,,,,,,,,,,,,,,,,
Sudan,5,6,0%,,,,,,,,,,,,,,,,,,,,,
Sweden,260,400,87.31%,,,,,,,,,,,,,,,,,,,,,
Switzerland,41,55,31.71%,,,,,,,,,,,,,,,,,,,,,
Taiwan,333,537,62.16%,,,,,,,,,,,,,,,,,,,,,
Tanzania,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Thailand,3,3,0%,,,,,,,,,,,,,,,,,,,,,
The Bahamas,1,0,0%,,,,,,,,,,,,,,,,,,,,,
Turkey,443,503,84.20%,,,,,,,,,,,,,,,,,,,,,
Ukraine,9,9,44.44%,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,5,8,80.00%,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"4,190","5,478",82.15%,,,,,,,,,,,,,,,,,,,,,
United States,"19,235","30,041",81.41%,855,"1,223",73.45%,"11,128","17,703",85.38%,"5,288","8,134",78.10%,314,383,69.43%,601,"1,433",79.87%,964,"1,045",78.01%,85,120,74.12%
Vietnam,1,2,0%,,,,,,,,,,,,,,,,,,,,,
