Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Albania,1,1,14,33,71.43%,14,33,71.43%,0,0,0%,,,,,,,,,,,,,,,,,,
Andorra,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Argentina,567,815,995,"1,394",74.97%,975,"1,363",75.28%,20,31,60.00%,,,,,,,,,,,,,,,,,,
Armenia,3,4,7,9,85.71%,7,9,85.71%,0,0,0%,,,,,,,,,,,,,,,,,,
Australia,334,483,657,761,63.93%,636,728,63.21%,21,33,85.71%,,,,,,,,,,,,,,,,,,
Austria,14,15,47,55,40.43%,39,47,38.46%,8,8,50.00%,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,3,4,0%,2,3,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Bahrain,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bangladesh,15,15,49,57,24.49%,24,32,8.33%,25,25,40.00%,,,,,,,,,,,,,,,,,,
Belgium,54,91,399,682,85.46%,379,662,85.22%,20,20,90.00%,,,,,,,,,,,,,,,,,,
Belize,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bhutan,0,0,1,1,100.00%,0,0,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Bolivia,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,5,63,4,6,75.00%,4,6,75.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Botswana,7,27,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Brazil,1082,1788,"1,819","3,153",53.16%,"1,808","3,126",53.10%,11,27,63.64%,,,,,,,,,,,,,,,,,,
Brunei,1,1,2,2,0%,2,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Bulgaria,5,9,14,20,64.29%,12,18,66.67%,2,2,50.00%,,,,,,,,,,,,,,,,,,
Burkina Faso,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Cameroon,1,1,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Canada,1333,2231,773,"1,041",84.48%,296,474,79.73%,477,567,87.42%,,,,,,,,,,,,,,,,,,
Chile,42,61,380,551,77.89%,380,551,77.89%,0,0,0%,,,,,,,,,,,,,,,,,,
Colombia,309,497,205,345,59.51%,194,331,60.82%,11,14,36.36%,,,,,,,,,,,,,,,,,,
Costa Rica,87,123,5,8,40.00%,5,8,40.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Croatia,1,2,66,71,95.45%,66,71,95.45%,0,0,0%,,,,,,,,,,,,,,,,,,
Cyprus,3,3,11,14,36.36%,6,9,0%,5,5,80.00%,,,,,,,,,,,,,,,,,,
Czech Republic,84,138,61,82,77.05%,43,56,76.74%,18,26,77.78%,,,,,,,,,,,,,,,,,,
Denmark,31,70,29,49,44.83%,28,48,42.86%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Dominican Republic,36,45,69,98,56.52%,64,91,54.69%,5,7,80.00%,,,,,,,,,,,,,,,,,,
Ecuador,36,99,3,3,66.67%,0,0,0%,3,3,66.67%,,,,,,,,,,,,,,,,,,
El Salvador,6,7,3,3,33.33%,3,3,33.33%,0,0,0%,,,,,,,,,,,,,,,,,,
Estonia,2,3,17,20,82.35%,17,20,82.35%,0,0,0%,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,1,1,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Finland,18,24,34,51,82.35%,34,51,82.35%,0,0,0%,,,,,,,,,,,,,,,,,,
France,291,413,"4,478","5,195",68.38%,"4,409","5,128",68.31%,69,67,72.46%,,,,,,,,,,,,,,,,,,
Georgia,15,28,15,26,86.67%,10,22,90.00%,5,4,80.00%,,,,,,,,,,,,,,,,,,
Germany,299,559,"4,422","5,631",54.03%,"4,275","5,412",53.22%,147,219,77.55%,,,,,,,,,,,,,,,,,,
Ghana,0,0,3,4,0%,3,4,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Greece,164,227,275,393,67.27%,192,309,61.46%,83,84,80.72%,,,,,,,,,,,,,,,,,,
Guatemala,15,51,34,82,50.00%,24,66,50.00%,10,16,50.00%,,,,,,,,,,,,,,,,,,
Hong Kong,37,45,131,158,58.02%,131,158,58.02%,0,0,0%,,,,,,,,,,,,,,,,,,
