Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Afghanistan,3,4,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Albania,3,3,12,57,92.00%,11,56,91.27%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Argentina,630,953,984,"1,449",76.00%,944,"1,402",77.19%,40,47,48.00%,,,,,,,,,,,,,,,,,,
Armenia,13,17,7,7,86.00%,7,7,86.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Australia,308,480,704,849,77.00%,667,801,77.50%,37,48,68.00%,,,,,,,,,,,,,,,,,,
Austria,24,36,67,96,51.00%,58,86,46.81%,9,10,78.00%,,,,,,,,,,,,,,,,,,
Azerbaijan,24,36,1,1,100.00%,1,1,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Bahrain,1,2,2,3,0%,0,0,0%,2,3,0%,,,,,,,,,,,,,,,,,,
Bangladesh,10,11,44,44,45.00%,20,21,18.60%,24,23,67.00%,,,,,,,,,,,,,,,,,,
Belgium,64,109,513,757,85.00%,486,703,85.22%,27,54,81.00%,,,,,,,,,,,,,,,,,,
Bhutan,0,0,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,12,17,19,28,63.00%,19,28,63.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Botswana,27,53,1,1,100.00%,1,1,100.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Brazil,1432,2388,"2,056","3,455",57.00%,"1,999","3,313",56.52%,57,142,74.00%,,,,,,,,,,,,,,,,,,
Bulgaria,7,23,14,16,57.00%,13,15,53.69%,1,1,100.00%,,,,,,,,,,,,,,,,,,
Cambodia,2,3,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Cameroon,0,0,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Canada,1452,2378,"1,004","1,243",85.00%,430,580,82.33%,574,663,87.00%,,,,,,,,,,,,,,,,,,
Chile,73,92,350,544,81.00%,347,541,81.41%,3,3,33.00%,,,,,,,,,,,,,,,,,,
Colombia,426,731,345,668,62.00%,305,596,67.11%,40,72,23.00%,,,,,,,,,,,,,,,,,,
Costa Rica,82,113,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Croatia,4,4,68,78,81.00%,68,78,81.00%,0,0,0%,,,,,,,,,,,,,,,,,,
Cyprus,5,5,11,16,45.00%,6,7,15.83%,5,9,80.00%,,,,,,,,,,,,,,,,,,
Czech Republic,106,142,83,132,83.00%,60,103,79.93%,23,29,91.00%,,,,,,,,,,,,,,,,,,
