year	id	country	requests	accounts	percentAccepted
2013	ARG	Argentina	894	1497	83.1096196868009
2013	AUS	Australia	2500	2881	85.24000000000001
2013	AUT	Austria	24	124	87.5
2013	BLR	Belarus	3	3	100.0
2013	BEL	Belgium	878	1304	80.29612756264237
2013	BRA	Brazil	2592	4379	69.9074074074074
2013	215	British Virgin Islands	1	1	100.0
2013	BGR	Bulgaria	5	8	100.0
2013	CAN	Canada	116	321	87.06896551724138
2013	CHL	Chile	422	637	84.59715639810426
2013	CHN	China	7	67	100.0
2013	COL	Colombia	211	372	85.78199052132702
2013	CRI	Costa Rica	114	139	83.33333333333334
2013	CZE	Czech Republic	78	141	84.61538461538461
2013	DNK	Denmark	177	339	85.87570621468926
2013	DOM	Dominican Republic	11	126	100.0
2013	ECU	Ecuador	43	55	90.69767441860465
2013	SLV	El Salvador	12	20	100.0
2013	EST	Estonia	16	24	93.75
2013	FIN	Finland	76	127	78.94736842105263
2013	FRA	France	9006	14882	83.17788141239174
2013	179	French Polynesia	7	7	71.42857142857143
2013	ATF	French Southern and Antarctic Lands	1	1	0.0
2013	DEU	Germany	10389	18565	83.32852055058234
2013	GRC	Greece	18	73	94.44444444444444
2013	HKG	Hong Kong	941	940	83.20935175345377
2013	HUN	Hungary	126	195	83.33333333333334
2013	ISL	Iceland	7	8	85.71428571428571
2013	IND	India	694	1096	80.69164265129683
2013	IRL	Ireland	98	150	64.28571428571429
2013	ISR	Israel	49	87	77.55102040816327
2013	ITA	Italy	1785	2412	79.88795518207283
2013	JPN	Japan	935	1145	80.0
2013	KOR	South Korea	126	222	86.5079365079365
2013	LVA	Latvia	2	2	100.0
2013	LTU	Lithuania	12	31	66.66666666666666
2013	LUX	Luxembourg	102	212	80.3921568627451
2013	173	Malta	50	58	88.0
2013	MEX	Mexico	811	1531	85.20345252774352
2013	MDA	Moldova	1	2	100.0
2013	212	Monaco	3	3	66.66666666666666
2013	NLD	Netherlands	749	2265	78.7716955941255
2013	NZL	New Zealand	70	80	87.14285714285714
2013	NOR	Norway	181	516	87.29281767955801
2013	PAN	Panama	25	36	96.0
2013	PER	Peru	66	207	95.45454545454545
2013	POL	Poland	107	176	81.30841121495327
2013	PRT	Portugal	706	894	84.98583569405099
2013	QAT	Qatar	2	2	100.0
2013	RUS	Russia	3	6	100.0
2013	SGP	Singapore	172	236	93.02325581395348
2013	SVK	Slovakia	31	36	93.54838709677419
2013	ESP	Spain	1696	2716	80.71933962264151
2013	SWE	Sweden	517	1303	88.00773694390716
2013	CHE	Switzerland	115	242	78.26086956521739
2013	TWN	Taiwan	1370	2685	84.45255474452554
2013	THA	Thailand	127	153	82.67716535433071
2013	TTO	Trinidad and Tobago	2	4	100.0
2013	TUR	Turkey	11556	13404	75.75285565939771
2013	UKR	Ukraine	11	56	90.9090909090909
2013	GBR	United Kingdom	8617	13999	80.51526053150748
2013	USA	United States	12666	31788	74.08021474814464
2013	URY	Uruguay	1	1	100.0
2013	VEN	Venezuela	15	28	93.33333333333333
2013	HRV	Croatia	2	2	100.0
2013	EGY	Egypt	1	1	100.0
2013	KOR	South Korea	105	137	82.85714285714286
2013	210	Liechtenstein	1	1	100.0
2013	PRY	Paraguay	1	2	100.0
2013	RUS	Russia	4	3	100.0
2013	SLE	Sierra Leone	1	1	100.0
2013	SVN	Slovenia	2	1	0.0
2013	ZAF	South Africa	3	3	100.0
2013	VEN	Venezuela	11	44	100.0
2014	ARG	Argentina	860	1061	81.27906976744185
2014	ARM	Armenia	4	4	75.0
2014	AUS	Australia	2332	2608	82.71869639794168
2014	AUT	Austria	51	111	98.0392156862745
2014	BLR	Belarus	4	4	100.0
2014	BEL	Belgium	914	1687	85.12035010940919
2014	BRA	Brazil	2461	4089	59.12230800487607
2014	CAN	Canada	129	267	87.59689922480621
2014	CHL	Chile	376	508	82.7127659574468
2014	CHN	China	1	2	100.0
2014	COL	Colombia	338	500	82.84023668639054
2014	CRI	Costa Rica	79	98	84.81012658227847
2014	HRV	Croatia	2	5	100.0
2014	CYP	Cyprus	5	5	80.0
2014	CZE	Czech Republic	83	165	93.97590361445783
2014	DNK	Denmark	178	308	89.8876404494382
2014	DOM	Dominican Republic	19	181	94.73684210526315
2014	ECU	Ecuador	68	118	89.70588235294117
2014	EST	Estonia	14	17	92.85714285714286
2014	FIN	Finland	62	112	80.64516129032258
2014	FRA	France	8766	12945	86.2194843714351
2014	DEU	Germany	9375	15924	83.37066666666666
2014	GRC	Greece	28	34	82.14285714285714
2014	HKG	Hong Kong	378	378	86.5079365079365
2014	HUN	Hungary	115	162	86.08695652173914
2014	ISL	Iceland	1	1	100.0
2014	IND	India	756	1147	87.56613756613757
2014	IRL	Ireland	65	107	83.07692307692308
2014	ISR	Israel	81	143	92.5925925925926
2014	ITA	Italy	1769	2448	83.88920293951385
2014	JPN	Japan	737	975	90.09497964721845
2014	LVA	Latvia	2	5	100.0
2014	LTU	Lithuania	15	74	93.33333333333333
2014	LUX	Luxembourg	138	976	88.40579710144928
2014	MYS	Malaysia	1	2	100.0
2014	173	Malta	90	94	87.77777777777777
2014	MEX	Mexico	941	1568	88.41657810839533
2014	MDA	Moldova	5	8	100.0
2014	212	Monaco	1	1	100.0
2014	MNE	Montenegro	1	1	100.0
2014	NLD	Netherlands	734	948	83.92370572207084
2014	NZL	New Zealand	131	166	85.49618320610686
2014	NOR	Norway	203	491	86.20689655172413
2014	PAK	Pakistan	3	9	100.0
2014	PAN	Panama	88	92	78.4090909090909
2014	PRY	Paraguay	1	1	100.0
2014	PER	Peru	38	120	97.36842105263158
2014	POL	Poland	103	153	85.43689320388349
2014	PRT	Portugal	897	1071	86.73355629877369
2014	PRI	Puerto Rico	2	3	100.0
2014	QAT	Qatar	1	1	100.0
2014	RUS	Russia	2	5	100.0
2014	SGP	Singapore	191	254	92.14659685863874
2014	SVK	Slovakia	37	42	81.08108108108108
2014	SVN	Slovenia	2	2	100.0
2014	ZAF	South Africa	1	2	100.0
2014	KOR	South Korea	282	447	85.46099290780141
2014	ESP	Spain	1484	2717	83.49056603773585
2014	SWE	Sweden	496	887	90.5241935483871
2014	CHE	Switzerland	110	196	90.9090909090909
2014	TWN	Taiwan	1173	2662	75.78857630008525
2014	THA	Thailand	129	133	86.82170542635659
2014	TUR	Turkey	4091	4455	76.65607430945978
2014	UKR	Ukraine	2	4	100.0
2014	ARE	United Arab Emirates	2	4	100.0
2014	GBR	United Kingdom	8608	15596	84.5724907063197
2014	USA	United States	12364	28831	74.23164024587511
2014	URY	Uruguay	15	25	80.0
2014	VEN	Venezuela	21	70	90.47619047619048
2014		* In early 2014, Turkey modified its laws governing law enforcement access to non-content information from electronic communications service providers.  For a brief period following those modifications, a number of requests were submitted to Microsoft pursuant to the previous legal standard.  Those requests were returned to the requesting agency, and no customer data was disclosed.  Because those requests were returned and not logged into our system, they are not included in this report.	0	0	0
2014	BIH	Bosnia and Herzegovina	1	1	100.0
2014	TUR	Turkey	3039	3328	76.70286278381046
2015	198	Andorra	3	6	66.66666666666666
2015	ARG	Argentina	1373	1650	81.20903131828113
2015	AUS	Australia	2014	2396	81.13207547169812
2015	AUT	Austria	109	605	89.90825688073394
2015	BLR	Belarus	4	13	100.0
2015	BEL	Belgium	887	1452	83.8782412626832
2015	BIH	Bosnia and Herzegovina	1	2	100.0
2015	BRA	Brazil	2600	4545	47.23076923076923
2015	CAN	Canada	88	286	89.77272727272727
2015	CHL	Chile	321	478	84.42367601246106
2015	COL	Colombia	308	497	85.3896103896104
2015	CRI	Costa Rica	100	125	85.0
2015	CIV	Ivory Coast	1	1	100.0
2015	HRV	Croatia	3	3	66.66666666666666
2015	CYP	Cyprus	1	1	100.0
2015	CZE	Czech Republic	120	255	89.16666666666667
2015	DNK	Denmark	153	204	77.77777777777779
2015	DOM	Dominican Republic	13	79	76.92307692307693
2015	ECU	Ecuador	56	82	75.0
2015	EST	Estonia	6	9	66.66666666666666
2015	FIN	Finland	87	350	87.35632183908046
2015	FRA	France	10676	15016	82.12813787935556
2015	179	French Polynesia	1	1	100.0
2015	DEU	Germany	8433	14737	83.29182971658959
2015	GRC	Greece	34	46	88.23529411764706
2015	HKG	Hong Kong	253	257	83.00395256916995
2015	HUN	Hungary	112	157	84.82142857142857
2015	IND	India	800	1169	86.25
2015	IRL	Ireland	83	95	73.49397590361446
2015	ISR	Israel	73.14285714285714	120	84.9609375
2015	ITA	Italy	1583.113074204947	3667	80.5446619689702
2015	JPN	Japan	712.0588235294117	951	89.0458488228005
2015	KOR	South Korea	154	250	89.6103896103896
2015	LTU	Lithuania	13	19	100.0
2015	LUX	Luxembourg	110	424	90.0
2015	MYS	Malaysia	1	1	100.0
2015	173	Malta	102	120	80.3921568627451
2015	MEX	Mexico	729	1252	82.1673525377229
2015	MDA	Moldova	4	7	100.0
2015	212	Monaco	3	5	100.0
2015	NLD	Netherlands	906	1186	84.76821192052981
2015	NZL	New Zealand	99	113	92.92929292929293
2015	NOR	Norway	198	678	80.8080808080808
2015	PAK	Pakistan	3	12	66.66666666666666
2015	PAN	Panama	4	4	75.0
2015	PER	Peru	64	182	100.0
2015	POL	Poland	155	249	84.51612903225806
2015	PRT	Portugal	1056	1297	84.94318181818183
2015	PRI	Puerto Rico	3	3	100.0
2015	RUS	Russia	3	6	100.0
2015	SGP	Singapore	229	372	89.95633187772926
2015	SVK	Slovakia	25	30	84.0
2015	SVN	Slovenia	4	4	100.0
2015	ZAF	South Africa	5	6	100.0
2015	ESP	Spain	1116	1845	81.72043010752688
2015	SWE	Sweden	452	898	88.93805309734513
2015	CHE	Switzerland	222	406	90.09009009009009
2015	TWN	Taiwan	1012	3869	71.54150197628458
2015	THA	Thailand	15	14	73.33333333333333
2015	TUR	Turkey	14360	15630	76.95682451253482
2015	UKR	Ukraine	1	1	100.0
2015	GBR	United Kingdom	10934	22961	84.50704225352112
2015	USA	United States	11237	25925	75.24250244727241
2015	URY	Uruguay	2	2	100.0
2015	VEN	Venezuela	10	18	80.0
2015	CHN	China	3	5	100.0
