Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 Algeria,68.5,68.9,69.3,69.8,70.2,70.6,71,71.4,71.8,72.2,72.5,72.9,73.2,73.5,73.8,74.1,74.3,74.6,74.8,75
 Angola,42.5,43.1,43.7,44.5,45.2,46,46.7,47.4,48,48.6,49,49.5,49.9,50.3,50.7,51.1,51.5,51.9,52.3,52.7
 Benin,54.9,54.9,55,55.1,55.3,55.5,55.9,56.3,56.7,57.1,57.5,57.9,58.3,58.5,58.8,59,59.2,59.4,59.6,59.8
 Botswana,54.4,52.5,50.9,49.5,48.7,48.7,49.3,50.6,52.4,54.6,56.9,59.1,61,62.5,63.4,64,64.2,64.4,64.5,64.5
 Burkina Faso,49.5,49.7,49.9,50.1,50.5,50.9,51.4,52.1,52.9,53.7,54.5,55.3,56,56.6,57.1,57.6,58,58.3,58.7,59
 Burundi,49.5,50.2,50.7,51.2,51.5,51.8,52,52.2,52.4,52.7,53.1,53.5,53.9,54.4,54.8,55.3,55.8,56.3,56.7,57.1
 Cameroon,53,52.8,52.5,52.2,52,51.8,51.7,51.7,51.7,51.9,52.2,52.5,52.9,53.3,53.7,54.2,54.6,55.1,55.5,56
Central African Rep.,46.4,45.9,45.4,45,44.6,44.4,44.3,44.3,44.5,44.8,45.2,45.7,46.3,47,47.7,48.4,49.1,49.9,50.7,51.5
 Chad,47.5,47.6,47.6,47.6,47.6,47.6,47.6,47.7,47.8,48,48.3,48.6,49,49.4,49.9,50.4,50.8,51.2,51.6,51.9
 Comoros,59,59.2,59.3,59.4,59.5,59.5,59.6,59.7,59.9,60.1,60.4,60.7,61.1,61.5,61.8,62.2,62.6,62.9,63.3,63.6
Ivory Coast,48.7,48,47.4,47,46.7,46.6,46.7,46.9,47.3,47.7,48.2,48.7,49.2,49.7,50.1,50.5,50.8,51.2,51.5,51.9
Democratic Republic of the Congo,49,49.1,49.2,49.6,50,50.7,51.4,52.1,52.9,53.7,54.4,55.1,55.8,56.4,56.9,57.4,57.9,58.3,58.7,59.1
 Egypt,67.3,67.7,68.1,68.4,68.6,68.8,69,69.1,69.3,69.4,69.6,69.8,70,70.2,70.4,70.5,70.7,70.9,71.1,71.3
Eq. Guinea,50.7,51.1,51.5,51.8,52.1,52.4,52.6,53,53.3,53.6,54,54.5,54.9,55.4,55.9,56.4,56.8,57.2,57.6,57.9
 Eritrea,53.3,54.1,54.8,55.5,56.1,56.6,57.2,57.7,58.1,58.6,59.2,59.7,60.3,60.9,61.5,62.1,62.7,63.3,63.7,64.2
 Ethiopia,49.8,50.3,50.8,51.4,51.9,52.6,53.4,54.2,55.2,56.3,57.3,58.4,59.5,60.4,61.3,62.1,62.8,63.5,64.1,64.6
 Gabon,60.7,60.4,60,59.7,59.4,59.2,59,59.1,59.2,59.5,59.9,60.4,61,61.6,62.2,62.8,63.3,63.9,64.4,64.9
 Gambia,53.8,54.1,54.6,55,55.5,56,56.5,57,57.4,57.9,58.2,58.5,58.8,59.1,59.3,59.5,59.8,60,60.2,60.5
 Ghana,57.3,57.2,57,57,57,57.2,57.4,57.8,58.2,58.7,59.2,59.7,60.1,60.4,60.6,60.8,61,61.2,61.4,61.5
 Guinea,51.7,51.6,51.5,51.3,51.3,51.3,51.4,51.6,52,52.6,53.3,54,54.8,55.6,56.3,57,57.7,58.2,58.8,59.2
 Guinea-Bissau,50.8,51,51.2,51.3,51.5,51.6,51.8,52,52.1,52.4,52.6,52.9,53.2,53.5,53.8,54.2,54.5,54.9,55.2,55.5
 Kenya,53.4,52.5,51.7,51.1,50.8,50.9,51.2,51.8,52.6,53.6,54.6,55.7,56.8,57.8,58.8,59.6,60.3,61,61.6,62.2
 Lesotho,55.2,53.2,51.2,49.1,47.3,45.7,44.6,43.9,43.6,43.7,44.2,45,45.8,46.7,47.6,48.3,48.9,49.4,49.8,50.1
 Liberia,51,51.6,52.1,52.3,52.4,52.5,52.8,53.3,54.1,55.1,56.2,57.2,58.1,58.9,59.5,59.9,60.2,60.5,60.9,61.2
 Libya,70,70.1,70.2,70.4,70.5,70.6,70.8,71,71.2,71.4,71.5,71.6,71.7,71.7,71.6,71.6,71.6,71.6,71.6,71.8
 Madagascar,55.4,56.2,57,57.8,58.5,59.1,59.7,60.3,60.8,61.2,61.7,62.1,62.5,62.9,63.4,63.8,64.3,64.7,65.1,65.5
 Malawi,43.6,43.7,43.8,43.9,44.1,44.5,45.1,45.9,47,48.3,49.9,51.6,53.3,55.1,56.9,58.6,60.1,61.5,62.8,63.9
 Mali,47.8,48,48.2,48.5,48.9,49.4,50.1,50.9,51.7,52.6,53.5,54.3,55,55.6,56.2,56.7,57.1,57.6,58,58.5
 Mauritania,59.6,59.8,59.9,60,60.1,60.2,60.3,60.4,60.5,60.7,60.9,61.2,61.5,61.8,62,62.3,62.6,62.8,63.1,63.2
 Morocco,67.2,67.5,67.9,68.2,68.6,68.9,69.3,69.7,70.1,70.5,70.9,71.3,71.7,72.2,72.6,73,73.4,73.7,74,74.3
 Mozambique,46.6,47.3,47.8,48.3,48.8,49.1,49.5,49.9,50.3,50.7,51.2,51.7,52.2,52.8,53.3,53.8,54.3,54.8,55.1,55.5
 Namibia,59.4,58.4,57.3,56.2,55.2,54.5,54.2,54.3,55,56,57.4,58.9,60.3,61.5,62.6,63.4,64,64.5,64.8,65.1
 Niger,47.8,48.6,49.3,50,50.7,51.4,52,52.6,53.3,53.9,54.6,55.4,56.3,57.3,58.2,59.2,60,60.8,61.4,61.9
