Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 Algeria,0.609,0.617,0.627,0.636,0.644,0.653,0.663,0.673,0.68,0.686,0.69,0.697,0.705,0.714,0.724,0.732,0.737,0.741,0.743,0.745
 Angola,,,,0.382,0.391,0.401,0.406,0.415,0.426,0.439,0.454,0.468,0.48,0.488,0.495,0.508,0.523,0.527,0.531,0.533
 Benin,0.375,0.38,0.384,0.389,0.395,0.407,0.416,0.423,0.43,0.434,0.438,0.444,0.448,0.451,0.454,0.458,0.466,0.475,0.481,0.485
 Botswana,0.575,0.572,0.564,0.559,0.56,0.558,0.567,0.58,0.593,0.61,0.63,0.646,0.661,0.669,0.678,0.687,0.693,0.697,0.698,0.698
 Burkina Faso,,,,,,,,,,0.325,0.334,0.345,0.356,0.365,0.377,0.384,0.392,0.398,0.399,0.402
 Burundi,0.262,0.264,0.268,0.268,0.268,0.268,0.276,0.279,0.286,0.29,0.309,0.319,0.336,0.361,0.385,0.393,0.398,0.404,0.406,0.404
 Cameroon,0.433,0.434,0.438,0.433,0.437,0.452,0.452,0.455,0.456,0.456,0.456,0.466,0.473,0.48,0.486,0.496,0.501,0.507,0.514,0.518
Central African Rep.,0.304,0.307,0.309,0.312,0.314,0.315,0.316,0.315,0.319,0.323,0.33,0.338,0.345,0.352,0.361,0.366,0.37,0.345,0.347,0.352
 Chad,,,,,0.3,0.303,0.284,0.301,0.306,0.303,0.306,0.338,0.343,0.36,0.37,0.381,0.387,0.39,0.394,0.396
 Comoros,,,,,,,,,0.434,0.451,0.459,0.461,0.465,0.476,0.479,0.484,0.49,0.497,0.498,0.498
Ivory Coast,0.389,0.392,0.39,0.393,0.395,0.397,0.398,0.4,0.406,0.413,0.418,0.423,0.431,0.436,0.441,0.444,0.452,0.459,0.466,0.474
Democratic Republic of the Congo,0.33,0.333,0.334,0.332,0.331,0.332,0.339,0.347,0.355,0.364,0.37,0.377,0.389,0.395,0.398,0.407,0.412,0.419,0.425,0.435
 Egypt,0.585,0.592,0.593,0.606,0.612,0.617,0.621,0.623,0.629,0.636,0.644,0.651,0.659,0.665,0.671,0.673,0.681,0.686,0.688,0.691
Eq. Guinea,,,,,0.527,0.542,0.554,0.553,0.563,0.569,0.587,0.592,0.59,0.589,0.58,0.583,0.586,0.582,0.582,0.592
 Eritrea,,,,,,,,,,0.405,0.405,0.406,0.402,0.404,0.405,0.41,0.414,0.416,0.418,0.42
 Ethiopia,,,,,0.283,0.298,0.306,0.31,0.325,0.346,0.362,0.378,0.393,0.401,0.411,0.422,0.427,0.435,0.441,0.448
 Gabon,0.636,0.638,0.641,0.637,0.633,0.636,0.638,0.64,0.64,0.646,0.645,0.651,0.652,0.66,0.664,0.669,0.678,0.687,0.694,0.697
 Gambia,0.357,0.363,0.369,0.377,0.384,0.392,0.395,0.404,0.412,0.415,0.42,0.426,0.434,0.439,0.441,0.44,0.445,0.449,0.45,0.452
 Ghana,0.474,0.476,0.477,0.48,0.485,0.484,0.489,0.491,0.499,0.51,0.519,0.53,0.542,0.547,0.554,0.563,0.57,0.576,0.575,0.579
 Guinea,0.294,0.302,0.309,0.316,0.322,0.329,0.338,0.325,0.346,0.356,0.364,0.371,0.376,0.38,0.385,0.396,0.406,0.412,0.414,0.414
 Guinea-Bissau,,,,,,,,,,0.388,0.394,0.398,0.401,0.405,0.41,0.416,0.415,0.419,0.421,0.424
 Kenya,0.456,0.452,0.45,0.448,0.447,0.451,0.45,0.461,0.474,0.483,0.494,0.506,0.514,0.523,0.53,0.536,0.541,0.546,0.55,0.555
 Lesotho,0.477,0.468,0.454,0.445,0.443,0.446,0.44,0.439,0.437,0.437,0.44,0.447,0.453,0.464,0.469,0.479,0.484,0.491,0.495,0.497
 Liberia,,,,0.338,0.386,0.376,0.373,0.335,0.372,0.377,0.383,0.394,0.4,0.403,0.406,0.416,0.419,0.426,0.427,0.427
 Libya,0.714,0.72,0.723,0.727,0.732,0.736,0.74,0.747,0.748,0.752,0.756,0.757,0.757,0.755,0.756,0.706,0.735,0.73,0.719,0.716
 Madagascar,,,,,0.456,0.462,0.457,0.466,0.473,0.478,0.483,0.491,0.5,0.503,0.504,0.506,0.508,0.509,0.511,0.512
 Malawi,0.368,0.388,0.389,0.391,0.387,0.388,0.362,0.366,0.371,0.377,0.387,0.4,0.415,0.43,0.444,0.454,0.459,0.466,0.473,0.476
 Mali,0.261,0.271,0.281,0.291,0.297,0.308,0.318,0.333,0.338,0.35,0.363,0.36,0.385,0.396,0.404,0.411,0.421,0.43,0.438,0.442
 Mauritania,0.429,0.429,0.436,0.443,0.444,0.446,0.447,0.451,0.461,0.466,0.475,0.475,0.476,0.484,0.487,0.491,0.501,0.509,0.513,0.513
 Morocco,0.499,0.503,0.51,0.519,0.53,0.54,0.551,0.561,0.569,0.575,0.581,0.589,0.596,0.603,0.612,0.623,0.634,0.64,0.645,0.647
 Mozambique,0.254,0.267,0.28,0.291,0.298,0.311,0.318,0.332,0.341,0.353,0.36,0.372,0.382,0.39,0.397,0.4,0.405,0.409,0.414,0.418
 Namibia,0.581,0.574,0.568,0.559,0.556,0.556,0.554,0.559,0.565,0.57,0.578,0.589,0.598,0.604,0.612,0.619,0.625,0.632,0.637,0.64
 Niger,0.237,0.24,0.249,0.253,0.255,0.261,0.266,0.27,0.278,0.286,0.293,0.298,0.307,0.312,0.323,0.331,0.341,0.345,0.351,0.353
 Nigeria,,,,,,,,0.445,0.463,0.466,0.477,0.481,0.487,0.492,0.5,0.507,0.514,0.521,0.525,0.527
Republic of Congo,0.49,0.493,0.495,0.487,0.487,0.488,0.492,0.497,0.496,0.507,0.517,0.527,0.545,0.548,0.558,0.557,0.576,0.581,0.59,0.592
 Rwanda,0.259,0.285,0.3,0.318,0.332,0.343,0.359,0.371,0.388,0.404,0.424,0.438,0.447,0.454,0.464,0.475,0.485,0.488,0.493,0.498
 Sao Tome and Principe,0.476,0.479,0.483,0.488,0.497,0.501,0.504,0.509,0.514,0.521,0.527,0.531,0.533,0.542,0.546,0.553,0.559,0.562,0.565,0.574
 Saudi Arabia,0.727,0.731,0.736,0.737,0.742,0.745,0.747,0.754,0.761,0.767,0.773,0.779,0.787,0.792,0.804,0.818,0.83,0.841,0.845,0.847
 Senegal,0.373,0.372,0.376,0.378,0.381,0.397,0.401,0.408,0.415,0.422,0.425,0.435,0.444,0.449,0.455,0.463,0.474,0.483,0.491,0.494
 Serbia,0.697,0.703,0.707,0.702,0.709,0.715,0.715,0.72,0.73,0.739,0.743,0.749,0.754,0.755,0.757,0.767,0.766,0.771,0.775,0.776
 Sierra Leone,0.275,0.279,0.286,0.292,0.302,0.306,0.322,0.332,0.341,0.348,0.357,0.367,0.375,0.384,0.392,0.401,0.413,0.426,0.431,0.42
 South Africa,0.651,0.647,0.641,0.635,0.629,0.62,0.613,0.611,0.609,0.609,0.612,0.616,0.622,0.63,0.638,0.644,0.652,0.66,0.665,0.666
S. Sudan,,,,,,,,,,,,,,,0.429,0.419,0.417,0.421,0.421,0.418
 Sudan,0.373,0.382,0.388,0.394,0.399,0.403,0.409,0.415,0.423,0.43,0.44,0.444,0.456,0.461,0.463,0.468,0.478,0.485,0.488,0.49
 Swaziland,0.539,0.533,0.523,0.516,0.506,0.502,0.493,0.492,0.495,0.502,0.508,0.514,0.519,0.523,0.526,0.534,0.539,0.541,0.541,0.541
Tanzania,0.369,0.371,0.377,0.384,0.391,0.399,0.41,0.42,0.432,0.446,0.457,0.468,0.478,0.488,0.498,0.504,0.513,0.512,0.519,0.531
 Togo,0.417,0.424,0.424,0.425,0.426,0.428,0.428,0.432,0.435,0.436,0.443,0.441,0.442,0.449,0.457,0.464,0.47,0.475,0.484,0.487
 Tunisia,0.617,0.624,0.635,0.646,0.654,0.662,0.667,0.673,0.683,0.689,0.695,0.701,0.706,0.71,0.714,0.717,0.72,0.722,0.723,0.725
 Uganda,0.336,0.351,0.366,0.382,0.396,0.404,0.418,0.427,0.429,0.434,0.442,0.453,0.464,0.473,0.477,0.477,0.478,0.483,0.488,0.493
 Zambia,0.408,0.411,0.413,0.418,0.424,0.433,0.443,0.456,0.467,0.479,0.492,0.504,0.518,0.533,0.543,0.554,0.565,0.57,0.576,0.579
 Zimbabwe,0.46,0.451,0.442,0.434,0.427,0.427,0.418,0.407,0.406,0.408,0.414,0.421,0.419,0.436,0.452,0.464,0.488,0.498,0.507,0.516
