Country,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..
Angola,AGO,..,..,..,..,..,..,..,..,..,..,6.6,..,..,..,..,..,..,..,..,..
Benin,BEN,3.1094,3.2404,3.3714,3.5023,3.6331,3.7,3.8946,4.0253,4.1559,4.2864,4.4169,4.5472,4.6776,5,4.938,5.0682,5.1982,5.2,5.4582,5.588
Botswana,BWA,0.5571,0.5429,0.5286,0.5143,0.5,0.4857,0.4714,0.4571,0.4429,0.4286,0.4143,0.4,0.3857,0.3714,0.3571,0.3429,0.3286,0.3143,0.3,0.2857
Burundi,BDI,5.2,5.2598,5.3862,5.5125,5.6388,5.765,5.8911,6.0172,6,6.2691,6.395,6.5208,6.6466,6.7723,6.8979,7.1,7.149,7.2745,7.3999,7.5252
Burkina Faso,BFA,9,7.2764,7.3273,7.3781,7.4289,7.2,7.5304,7.5811,7.6318,7.6825,7.7332,8.4,7.8344,7.885,7.9355,7.986,7.7,8.087,8.1375,8.1879
Cameroon,CMR,3.5807,3.7081,3.8355,3.6,4.09,4.2172,4.3443,4.4714,4.5983,5.4,4.8521,4.9789,5.1057,5.2323,5.3589,5.4855,5.3,5.7384,5.8647,5.991
Central African Rep.,CAF,2.3,2.36,2.42,2.48,2.54,2.6,2.66,2.72,2.78,2.84,2.9,2.96,3.02,3.08,3.14,3.2,3.26,3.32,3.38,3.44
Chad,TCD,6.65,6.5,6.35,6.2,6.05,5.9,5.75,5.6,5.45,5.3,5.15,5,4.85,4.7,4.55,4.4,4.25,4.1,3.95,3.8
Comoros,COM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Democratic Republic of the Congo,COD,50.225,50.4375,50.65,50.8625,51.075,51.2875,51.5,51.7125,51.925,52.1375,52.35,52.5625,52.775,52.9875,53.2,53.4125,53.625,53.8375,54.05,54.2625
Republic of Congo,COG,2.1333,2.1,2.0667,2.0333,2,1.9667,1.9333,1.9,1.8667,1.8333,1.8,1.7667,1.7333,1.7,1.6667,1.6333,1.6,1.5667,1.5333,1.5
Djibouti,DJI,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Egypt,EGY,2.5048,1.4,2.4604,2.4382,2.416,2.3938,3.3,2.3495,2.3274,2.3053,3.2,2.2611,2.5,2.2169,2,2.1728,2.1508,1.3,2.1067,2.0847
Eq. Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,34.4596,36.9,33.513,33.0397,32.5664,32.0932,27.1,31.1466,30.6733,30.2,29.7267,29.2534,29.4,28.3068,27.8336,27.3603,26.887,27.4,25.9404,25.4671
Gabon,GAB,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,..,..,..
Gambia,GMB,0.8,0.7574,0.7231,0.6888,0.6544,0.6,0.5858,0.5515,0.5172,0.4828,0.4485,0.4142,0.4,0.3456,0.3112,0.2769,0.2426,0.2,0.174,0.1396
Ghana,GHA,6.4,6.3714,6.1429,5.9143,5.6857,5.4571,5.2286,5.4,4.7714,4.5429,4.3143,4.0857,3.8571,3.6286,3.2,3.1714,2.9429,2.7143,2.4857,2.2571
Guinea,GIN,6.64,6.48,6.32,6.16,5.6,5.84,5.68,5.52,5.36,6,5.04,4.88,4.72,4.56,4,4.24,4.08,3.92,3.76,3.6
Guinea-Bissau,GNB,0.55,0.5875,0.625,0.6625,0.7,0.7375,0.775,0.8125,0.85,0.8875,0.925,0.9625,1,1.0375,1.075,1.1125,1.15,1.1875,1.225,1.2625
Kenya,KEN,..,..,..,..,..,..,..,15.4,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Liberia,LBR,3.3,3.2,3.1,3,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2,1.9,1.8,1.7,1.6,1.5,1.4
Madagascar,MDG,9.2852,9.8,10.4594,11.2,11.6323,12.2184,12.8041,13.2,13.9747,14.5596,15.1442,15.7284,16.6,16.8961,17.3,18.0627,18.6455,19.2281,19.8103,20.3923
Malawi,MWI,7.6,7.8667,8.1333,8.4,8.6667,8.9333,9.2,9.4667,9.7333,10,10.2667,10.5333,10.8,11.0667,11.3333,11.6,11.8667,12.1333,12.4,12.6667
Mali,MLI,6.1959,6.301,6.4061,6.6,6.6163,6.7214,6.8265,6.9316,6.8,7.1418,7.2469,7.5,7.4571,7.5622,7.6673,7.7724,7.8776,7.9827,8.0878,8.1929
Mauritania,MRT,0.5458,0.5257,0.5,0.4855,0.4654,0.4453,0.4,0.4051,0.385,0.365,0.4,0.3248,0.3047,0.2846,0.2645,0.2444,0.2,0.2042,0.1841,0.164
Mauritius,MUS,..,..,..,..,..,..,..,..,0,..,..,..,..,..,0,..,..,..,..,..
Morocco,MAR,2.1,1.9519,1.8,1.6788,1.5423,1.4058,1.2692,1.1327,1,0.8596,0.7231,0.5865,0.45,0.3135,0.1769,0.0404,-0.0962,-0.2327,-0.3692,-0.5058
Mozambique,MOZ,14.8167,14.9583,15.1,15.2417,15.4,15.525,15.6667,15.8083,15.95,16.0917,16.2,16.375,16.5167,16.6583,16.8,16.9417,17.1,17.225,17.3667,17.5083
