Lon,Lat,City,State,Date,Attendance,Movement,Cause,Description
-149.8948523,61.2163129,Anchorage,AK,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-149.8948523,61.2163129,Anchorage,AK,2017-08-13,500,Racial Justice,Anti-Racism,rally against racism
-149.8948523,61.2163129,Anchorage,AK,2018-01-20,784,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-147.716675,64.837845,Fairbanks,AK,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-151.5401477,59.6440876,Homer,AK,2018-01-20,650,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-134.419734,58.3019496,Juneau,AK,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-86.765783,33.570499,Birmingham,AL,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-86.765783,33.570499,Birmingham,AL,2018-01-20,2700,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-86.765783,33.570499,Birmingham,AL,2017-10-03,1000,U.S. Politics,Politician Support,Campaign Rally for Doug Jones
-86.5861,34.7304,Huntsville,AL,2017-04-22,1100,U.S. Politics,Scientific Funding,March for Science
-86.5861,34.7304,Huntsville,AL,2018-01-20,1200,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-86.5861,34.7304,Huntsville,AL,2017-09-22,9000,U.S. Politics,Politician Support,Supporting Luther Strange
-86.3,32.3668,Montgomery,AL,2018-01-20,2000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-94.1574328,36.0625843,Fayetteville,AR,2017-04-22,500,U.S. Politics,Scientific Funding,March for Science
-94.1574328,36.0625843,Fayetteville,AR,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-92.2895948,34.7464809,Little Rock,AR,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-92.2895948,34.7464809,Little Rock,AR,2017-10-09,600,Other,Peace,Rally to end violence (Victory over Violence Prayer Rally)
-111.6514259,35.199458,Flagstaff,AZ,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-111.6514259,35.199458,Flagstaff,AZ,2018-01-20,1200,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-111.586066176293,33.436188,Mesa,AZ,2017-04-21,3800,U.S. Politics,Politician Support,Bernie Sanders rally
-112.0773456,33.4485866,Phoenix,AZ,2017-04-22,4700,U.S. Politics,Scientific Funding,March for Science
-112.0773456,33.4485866,Phoenix,AZ,2017-08-22,15000,U.S. Politics,Politician Support,Campaign-style rally
-112.0773456,33.4485866,Phoenix,AZ,2017-08-22,2000,U.S. Politics,Politician Opposition,Protesting Trump rally
-112.0773456,33.4485866,Phoenix,AZ,2018-01-21,25000,Women's Rights,General Awareness,Empower Voters to Support Womens's Rights
-112.0773456,33.4485866,Phoenix,AZ,2018-01-15,5000,Racial Justice,Anti-Racism,March for racial equality
-112.0773456,33.4485866,Phoenix,AZ,2018-01-06,2000,U.S. Politics,Education,Rallying for better public school funding
-112.469518,34.5402813,Prescott,AZ,2018-01-20,1400,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-111.7929891,34.8657757,Sedona,AZ,2018-01-20,500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-110.9262353,32.2218917,Tucson,AZ,2017-04-22,2500,U.S. Politics,Scientific Funding,March for Science
-110.9262353,32.2218917,Tucson,AZ,2017-04-15,700,U.S. Politics,Politician Opposition,demand Trump tax returns
-110.9262353,32.2218917,Tucson,AZ,2017-08-13,1300,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-110.9262353,32.2218917,Tucson,AZ,2017-09-06,600,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-124.08284,40.866517,Arcata,CA,2017-04-22,2450,U.S. Politics,Scientific Funding,March for Science
-119.0194639,35.3738712,Bakersfield,CA,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.2727,37.8716,Berkeley,CA,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-122.2727,37.8716,Berkeley,CA,2017-08-27,7000,Racial Justice,Anti-Racism,Rally Against Hate; counter-protest Patriot Prayer
-122.2727,37.8716,Berkeley,CA,2017-08-27,1000,Racial Justice,Anti-Racism,Bay Area Rally Against Hate
-122.2727,37.8716,Berkeley,CA,2017-02-02,1500,Racial Justice,Anti-Racism,"protest against alt-right Breitbart editor, Milo Yiannopoulos"
-122.2727,37.8716,Berkeley,CA,2017-09-14,1000,Racial Justice,Anti-Racism,Protesting Ben Shapiro
-118.4004000000000,34.0736,Beverly Hills,CA,2017-02-24,1200,Racial Justice,Immigrant Rights,for immigration rights
-121.8375,39.7285,Chico,CA,2017-04-22,2725,U.S. Politics,Scientific Funding,March for Science
-121.8375,39.7285,Chico,CA,2018-01-20,5000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-117.2919818,33.0369867,Encinitas,CA,2017-02-11,2500,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-124.1637000000000,40.8021,Eureka,CA,2018-01-20,5000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-123.804512600293,39.4192825,Fort Bragg,CA,2018-01-20,1100,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-119.708861260756,36.7295295,Fresno,CA,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-119.708861260756,36.7295295,Fresno,CA,2017-02-16,3700,Racial Justice,Immigrant Rights,Immigrant rights protest
-119.708861260756,36.7295295,Fresno,CA,2018-01-20,2000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-117.9294165,33.8708215,Fullerton,CA,2017-04-22,1225,U.S. Politics,Scientific Funding,March for Science
-122.0808,37.6688,Hayward,CA,2017-09-07,530,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-118.0000166,33.6783336,Huntington Beach,CA,2017-03-25,1835,U.S. Politics,Politician Support,"support Trump, veterans, police"
-120.0233622,39.2362794,Kings Beach,CA,2018-01-20,750,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-117.7854,33.5427,Laguna Beach,CA,2017-08-20,2500,Racial Justice,Anti-Racism,Counter-protest; against America First! rally
