year,to19,20to29,30to39,40to49,50to59,60to69,70to79,80to,other,total									
1978,866,3741,3597,3641,2753,+,6024,+,166,20788
1979,919,3654,3808,3796,2977,+,6163,+,186,21503
1980,678,3261,3791,3911,3138,+,6166,+,103,21048
1981,620,2777,3653,3996,3304,+,5985,+,99,20434
1982,599,2832,3787,4284,3616,+,6025,+,85,21228
1983,657,3050,4099,5460,4846,+,7004,+,86,25202
1984,572,2737,3855,5290,4912,+,7147,+,83,24596
1985,557,2548,3519,4936,4815,+,7143,+,81,23599
1986,802,2824,3687,4948,5385,+,7794,+,84,25524
1987,577,2588,3447,4696,5129,+,7943,+,80,24460
1988,603,2479,3180,4459,4886,+,8044,+,91,23742
1989,534,2357,2865,4202,4296,+,8075,+,107,22436
1990,467,2226,2543,3982,4176,+,7853,+,99,21346
1991,454,2215,2391,3953,4423,+,7576,+,72,21084
1992,524,2313,2391,4186,4708,+,7912,+,70,22104
1993,446,2251,2473,4146,4846,+,7525,+,164,21851
1994,580,2494,2410,3806,4732,+,7438,+,219,21679
1995,515,2509,2467,3999,5031,+,7739,+,185,22445
1996,492,2457,2501,4147,5013,+,8244,+,250,23104
1997,469,2534,2767,4200,5422,+,8747,+,252,24391
1998,720,3472,3614,5359,7898,+,11494,+,306,32863
1999,674,3475,3797,5363,8288,+,11123,+,328,33048
2000,598,3301,3685,4818,8245,+,10997,+,313,31957
2001,586,3095,3622,4643,7883,+,10891,+,322,31042
2002,502,3018,3935,4813,8462,+,11119,+,294,32143
2003,613,3353,4603,5419,8614,+,11529,+,296,34427
2004,589,3247,4333,5102,7772,+,10994,+,288,32325
2005,608,3409,4606,5208,7586,+,10894,+,241,32552
2006,623,3395,4497,5008,7246,+,11120,+,266,32155
2007,548,3309,4767,5096,7046,5710,3909,2488,220,33093
2008,611,3438,4850,4970,6363,5735,3697,2361,224,32249
2009,565,3470,4794,5261,6491,5958,3671,2405,230,32845
2010,552,3240,4596,5165,5959,5908,3673,2401,196,31690
2011,622,3304,4455,5053,5375,5547,3685,2429,181,30651
2012,587,3000,3781,4616,4668,4976,3661,2411,158,27858
2013,547,2801,3705,4589,4484,4716,3785,2533,123,27283
2014,538,2684,3413,4234,4181,4325,3508,2457,87,25427
2015,554,2352,3087,4069,3979,3973,3451,2459,101,24025
2016,520,2235,2824,3739,3631,3626,2983,2262,77,21897
2017,567,2213,2703,3668,3593,3339,2926,2256,56,21321
