prefecture,1960,1965,1970,1975,1980,1985,1990,1995,2000
Hokkaido,27.9,19.6,20.7,22.2,22.3,22.5,15.6,15.2,23.3
Aomori,22.1,19.7,16.1,19.2,22.5,24.6,18.9,18.4,23.3
Iwate,31.3,26.9,25.2,28.3,27.1,26.1,22.2,21.3,27.1
Miyagi,18.2,16.5,13.7,17.6,15.7,19.9,16.3,13.8,20.2
Akita,26.2,21.9,24.3,26.9,22.9,31.7,23.9,25.8,31.0
Yamagata,22.6,19.7,19.8,18.9,19.9,21.6,15.9,18.9,21.2
Fukushima,21.0,15.7,16.5,16.4,17.0,22.5,15.7,17.2,21.0
Ibaraki,18.5,13.5,26.4,17.3,18.2,20.6,14.3,15.1,21.3
Tochigi,19.9,14.6,16.1,19.5,20.4,22.5,17.5,17.0,21.8
Gunma,25.5,17.0,18.6,21.7,20.8,24.4,16.5,16.8,20.5
Saitama,20.5,16.1,17.2,19.6,17.8,17.5,14.4,14.4,17.8
Chiba,19.8,14.5,14.5,17.3,16.8,17.2,13.4,13.4,18.6
Tokyo,24.0,14.1,30.7,17.3,16.3,16.6,13.7,14.3,16.9
Kanagawa,20.9,15.8,14.0,16.6,15.5,16.4,13.1,13.4,17.9
Niigata,30.6,25.9,26.1,25.0,22.6,28.0,19.7,19.8,26.5
Toyama,22.0,23.9,22.7,19.8,21.5,23.7,17.3,16.8,21.6
Ishikawa,19.2,16.2,16.5,17.6,17.9,18.3,28.9,14.1,17.7
Fukui,23.8,17.8,15.6,19.0,17.6,17.5,14.3,14.1,17.4
Yamanashi,23.9,15.5,15.8,18.0,18.7,20.9,17.7,16.2,19.9
Nagano,23.7,17.4,15.9,19.9,16.8,19.4,16.4,15.4,22.3
Gifu,28.0,21.6,19.1,23.2,19.1,20.9,16.2,14.2,20.0
Shizuoka,23.3,17.1,14.2,18.1,17.7,17.2,13.4,12.5,16.9
Aichi,25.9,17.4,18.0,21.9,17.2,16.2,13.2,13.7,18.3
Mie,25.3,18.8,19.0,17.1,17.2,17.4,13.7,13.7,17.9
Shiga,27.7,19.7,16.5,21.5,16.3,16.3,13.6,12.4,17.8
Kyoto,27.5,19.0,17.8,20.0,18.9,18.5,15.4,14.8,21.7
Osaka,28.9,19.3,19.9,22.7,19.1,17.2,15.4,14.5,22.4
Hyogo,27.5,19.0,17.6,21.8,20.8,20.0,15.3,15.2,20.6
Nara,26.4,16.8,14.0,18.4,18.4,18.1,12.9,12.0,15.6
Wakayama,27.3,19.5,19.5,22.6,19.8,25.5,17.1,18.0,22.2
Tottori,20.2,18.8,17.5,15.0,14.8,18.9,18.2,17.9,21.0
Shimane,25.7,21.2,21.2,25.0,27.0,24.3,20.0,21.5,26.1
Okayama,19.8,15.9,16.0,16.9,16.9,17.2,14.4,12.3,16.7
Hiroshima,27.1,19.2,17.6,18.6,19.6,19.5,16.5,16.1,18.3
Yamaguchi,27.3,20.7,18.3,21.5,21.9,21.5,14.5,17.3,22.3
Tokushima,21.8,18.8,22.0,18.6,22.9,19.3,14.6,14.3,16.3
Kagawa,24.8,21.7,14.1,20.5,20.1,19.5,14.9,13.9,20.1
Ehime,28.1,15.9,17.7,19.3,19.1,22.9,15.9,15.2,20.3
Kōchi,24.7,20.2,18.3,22.8,23.4,24.6,18.2,16.8,21.3
Fukuoka,25.1,16.0,16.0,19.6,19.3,21.5,17.3,15.7,22.1
Saga,24.7,14.2,13.4,15.9,17.6,21.8,14.8,14.3,23.1
Nagasaki,22.6,17.9,18.5,19.7,19.6,22.3,16.1,15.7,23.2
Kumamoto,19.5,15.6,18.2,18.1,18.3,19.5,14.4,15.6,20.2
Oita,21.1,18.0,18.8,18.5,18.8,21.0,16.0,15.4,22.9
Miyazaki,26.4,18.7,24.3,19.2,25.7,23.2,20.9,21.7,27.8
Kagoshima,25.0,20.5,20.0,21.4,23.7,25.7,20.5,20.4,23.7
Okinawa,?,?,?,16.4,17.5,19.3,19.5,21.0,26.8
