area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1000,0,10,50,0,2017,3,,Alabama -- Statewide,Total Covered,"10 Total, all industries","State, Total Covered",All establishment sizes,125475,1928564,1936452,1941051,21611940858,1630302270,25133764,859,,1,1,1,1,1,1,1,1,,3012,2.5,17217,0.9,19259,1,16246,0.8,-87784643,-0.4,-27219888,-1.6,-2033611,-7.5,-11,-1.3
1001,0,10,70,0,2017,3,,"Autauga County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,875,10718,10795,10779,98835444,8040672,96872,706,,1,1,1,1,1,1,1,1,,20,2.3,163,1.5,143,1.3,52,0.5,-1383952,-1.4,-1648598,-17,-32060,-24.9,-18,-2.5
1003,0,10,70,0,2017,3,,"Baldwin County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,6114,75013,73759,72038,632784412,80078314,1074736,661,,1,1,1,1,1,1,1,1,,282,4.8,2135,2.9,1967,2.7,1569,2.2,225314,0,-3393039,-4.1,-183578,-14.6,-18,-2.7
1005,0,10,70,0,2017,3,,"Barbour County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,558,7950,8019,7933,69587758,6491329,96909,672,,1,1,1,1,1,1,1,1,,8,1.5,111,1.4,143,1.8,97,1.2,-2256432,-3.1,499327,8.3,-3324,-3.3,-32,-4.5
1007,0,10,70,0,2017,3,,"Bibb County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,370,4035,4086,4147,39301622,2785378,48812,739,,1,1,1,1,1,1,1,1,,33,9.8,-155,-3.7,-10,-0.2,36,0.9,-1928167,-4.7,-284697,-9.3,-7574,-13.4,-28,-3.7
1009,0,10,70,0,2017,3,,"Blount County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,775,8368,8424,8406,71326655,7155490,86690,653,,1,1,1,1,1,1,1,1,,17,2.2,178,2.2,233,2.8,168,2,2203459,3.2,880689,14,4571,5.6,5,0.8
1011,0,10,70,0,2017,3,,"Bullock County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,149,2971,2975,2978,23869954,2569060,33632,617,,1,1,1,1,1,1,1,1,,5,3.5,10,0.3,-51,-1.7,-41,-1.4,-816237,-3.3,-202151,-7.3,-7775,-18.8,-16,-2.5
1013,0,10,70,0,2017,3,,"Butler County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,490,6666,6665,6635,54642117,6295757,94213,632,,1,1,1,1,1,1,1,1,,2,0.4,-290,-4.2,-301,-4.3,-296,-4.3,-3510985,-6,-785084,-11.1,-19070,-16.8,-12,-1.9
1015,0,10,70,0,2017,3,,"Calhoun County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2519,43851,44093,43772,424894252,35991214,515289,744,,1,1,1,1,1,1,1,1,,16,0.6,177,0.4,234,0.5,-15,0,3445660,0.8,1057134,3,-39461,-7.1,3,0.4
1017,0,10,70,0,2017,3,,"Chambers County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,596,8301,8314,8220,74877776,5883429,65117,696,,1,1,1,1,1,1,1,1,,-1,-0.2,190,2.3,194,2.4,0,0,386557,0.5,-955564,-14,-34250,-34.5,-7,-1
1019,0,10,70,0,2017,3,,"Cherokee County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,399,4868,4913,5046,41840347,3666032,44365,651,,1,1,1,1,1,1,1,1,,-6,-1.5,-124,-2.5,-121,-2.4,-49,-1,-1101785,-2.6,-338135,-8.4,-18946,-29.9,-4,-0.6
1021,0,10,70,0,2017,3,,"Chilton County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,770,9271,9264,9245,83432580,6917488,82520,693,,1,1,1,1,1,1,1,1,,12,1.6,-223,-2.3,-367,-3.8,-364,-3.8,804173,1,-2237514,-24.4,-69814,-45.8,29,4.4
1023,0,10,70,0,2017,3,,"Choctaw County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,294,3369,3385,3450,40841207,2761954,42888,924,,1,1,1,1,1,1,1,1,,11,3.9,54,1.6,32,1,113,3.4,385145,1,629042,29.5,6936,19.3,-9,-1
1025,0,10,70,0,2017,3,,"Clarke County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,657,7961,7963,8009,75032988,5973703,80208,723,,1,1,1,1,1,1,1,1,,-6,-0.9,-154,-1.9,-166,-2,-149,-1.8,-3070711,-3.9,116411,2,-3654,-4.4,-16,-2.2
1027,0,10,70,0,2017,3,,"Clay County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,210,4015,4111,4166,33254642,3457022,32010,624,,1,1,1,1,1,1,1,1,,-7,-3.2,112,2.9,103,2.6,115,2.8,380734,1.2,54525,1.6,-9541,-23,-10,-1.6
1029,0,10,70,0,2017,3,,"Cleburne County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,217,2137,2094,2114,21750937,1441659,20603,791,,1,1,1,1,1,1,1,1,,4,1.9,-289,-11.9,-264,-11.2,-270,-11.3,-1842534,-7.8,-417698,-22.5,-17928,-46.5,31,4.1
1031,0,10,70,0,2017,3,,"Coffee County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1088,15582,15779,15681,132343862,13868689,198876,649,,1,1,1,1,1,1,1,1,,18,1.7,384,2.5,410,2.7,95,0.6,1854797,1.4,-1290148,-8.5,-40662,-17,-3,-0.5
1033,0,10,70,0,2017,3,,"Colbert County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1295,23528,23644,23711,249265496,16676331,280664,812,,1,1,1,1,1,1,1,1,,4,0.3,-130,-0.5,-278,-1.2,-294,-1.2,-9056141,-3.5,-1894367,-10.2,-83898,-23,-21,-2.5
1035,0,10,70,0,2017,3,,"Conecuh County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,253,3434,3497,3428,30233096,2794824,42925,674,,1,1,1,1,1,1,1,1,,-1,-0.4,-14,-0.4,50,1.5,49,1.5,-178813,-0.6,-11260,-0.4,880,2.1,-9,-1.3
1037,0,10,70,0,2017,3,,"Coosa County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,125,1369,1407,1379,11796485,981135,21039,655,,1,1,1,1,1,1,1,1,,-1,-0.8,31,2.3,48,3.5,20,1.5,-117785,-1,-102755,-9.5,-1644,-7.2,-23,-3.4
1039,0,10,70,0,2017,3,,"Covington County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,900,12281,12353,12391,110775469,9332027,197030,690,,1,1,1,1,1,1,1,1,,16,1.8,263,2.2,318,2.6,277,2.3,3397332,3.2,-597659,-6,-15806,-7.4,5,0.7
1041,0,10,70,0,2017,3,,"Crenshaw County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,257,3741,3791,3705,31620286,2678297,51017,649,,1,1,1,1,1,1,1,1,,-1,-0.4,-65,-1.7,-27,-0.7,-193,-5,-2765934,-8,-482550,-15.3,-13963,-21.5,-40,-5.8
1043,0,10,70,0,2017,3,,"Cullman County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1827,28526,28532,28810,261244275,23293530,279034,702,,1,1,1,1,1,1,1,1,,10,0.6,103,0.4,-29,-0.1,-107,-0.4,-4652410,-1.7,-994657,-4.1,-46754,-14.4,-12,-1.7
1045,0,10,70,0,2017,3,,"Dale County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,875,16790,16867,16873,230523150,8833723,129565,1053,,1,1,1,1,1,1,1,1,,6,0.7,101,0.6,127,0.8,117,0.7,-534039,-0.2,-378586,-4.1,-30121,-18.9,-9,-0.8
1047,0,10,70,0,2017,3,,"Dallas County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,848,12217,12223,12356,111254646,9383109,178491,698,,1,1,1,1,1,1,1,1,,-4,-0.5,-279,-2.2,-398,-3.2,-457,-3.6,-2856142,-2.5,-726684,-7.2,-18957,-9.6,4,0.6
1049,0,10,70,0,2017,3,,"DeKalb County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1181,21407,21142,21375,193902537,18899963,228418,700,,1,1,1,1,1,1,1,1,,30,2.6,521,2.5,617,3,664,3.2,5318873,2.8,1078190,6,-2671,-1.2,-1,-0.1
1051,0,10,70,0,2017,3,,"Elmore County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,1377,19740,19894,19660,167475101,16302626,181491,652,,1,1,1,1,1,1,1,1,,29,2.2,185,0.9,156,0.8,1,0,-2391009,-1.4,-783337,-4.6,-33647,-15.6,-13,-2
1053,0,10,70,0,2017,3,,"Escambia County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,852,12795,12753,12914,118076215,9877043,140193,708,,1,1,1,1,1,1,1,1,,12,1.4,12,0.1,-7,-0.1,42,0.3,-4337599,-3.5,-15177,-0.2,-9200,-6.2,-27,-3.7
1055,0,10,70,0,2017,3,,"Etowah County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,2065,35943,36008,36248,319383071,35686602,497834,681,,1,1,1,1,1,1,1,1,,12,0.6,-275,-0.8,69,0.2,170,0.5,-6647703,-2,-345540,-1,-25088,-4.8,-14,-2
1057,0,10,70,0,2017,3,,"Fayette County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,338,4004,4010,3987,31799891,2615568,32476,611,,1,1,1,1,1,1,1,1,,-2,-0.6,0,0,-93,-2.3,-172,-4.1,-947626,-2.9,-505014,-16.2,-6419,-16.5,-5,-0.8
1059,0,10,70,0,2017,3,,"Franklin County, Alabama",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,573,10516,10541,10703,90317418,8441323,189427,656,,1,1,1,1,1,1,1,1,,18,3.2,269,2.6,209,2,274,2.6,1404853,1.6,124158,1.5,12232,6.9,-6,-0.9
