year,perVmt,perVehicle,perRoads,perDriver,population,highwayFatalitiesTotal,droveCars,publicTransportation,drovePct,publicPct
1900,36,,,,76212168,36,,,,
1901,31.76,,,,77813800,54,,,,
1902,25.48,,,,79415432,79,,,,
1903,25.43,,,,81017064,117,,,,
1904,22.93,,,,82618696,172,,,,
1905,25.98,,,,84220328,252,,,,
1906,27.26,,,,85821960,338,,,,
1907,40.35,,,,87423592,581,,,,
1908,40.59,,,,89025224,751,,,,
1909,45.33,,,,90626856,1174,,,,
1910,44.66,,,,92228496,1599,,,,
1911,40.54,,,,93607800,2043,,,,
1912,40.16,,,,94987104,2968,,,,
1913,39.8,,,,96366408,4079,,,,
1914,31.78,,,,97745712,4468,,,,
1915,34.71,,,,99125016,6779,,,,
1916,30.03,,,,100504320,7766,,,,
1917,31.39,,,,101883624,9630,,,,
1918,28.1,,,,103262928,10390,,,,
1919,24.7,,,,104642232,10896,,,,
1920,25.54,,,,106021537,12155,,,,
1921,24.08,,,,107739645,13253,,,,
1922,21.95,,,,109457753,14859,,,,
1923,21.02,,,,111175861,17870,,,,
1924,17.55,,,,112893969,18400,,,,
1925,16.98,,,,114612077,20771,,,,
1926,15.77,,,,116330185,22194,,,,
1927,15.44,,,,118048293,24470,,,,
1928,15.36,,,,119766401,26557,,,,
1929,14.97,,,,121484509,29592,,,,
1930,15.12,,,,123202624,31204,,,,
1931,14.79,,,,124098818,31963,,,,
1932,13.95,,,,124995013,27979,,,,
1933,14.83,,,,125891207,29746,,,,
1934,15.88,,,,126787402,34240,,,,
1935,15.09,,,,127683596,34494,,,,
1936,14.33,,,,128579791,36126,,,,
1937,14,,,,129475985,37819,,,,
1938,11.46,,,,130372180,31083,,,,
1939,10.83,,,,131268374,30895,,,,
1940,10.89,,,,132164569,32914,,,,
1941,11.43,,,,134080691,38142,,,,
1942,10.07,,,,135996813,27007,,,,
1943,10.92,,,,137912935,22727,,,,
1944,10.89,,,,139829057,23165,,,,
1945,10.71,,,,141745179,26785,,,,
1946,9.35,,,,143661301,31874,,,,
1947,8.41,,,,145577423,31193,,,,
1948,7.73,,,,147493545,30775,,,,
1949,7.13,,,,149409667,30246,,,,
1950,7.24,,,,151325798,33186,,,,
1951,7.19,,,,154125535,35309,,,,
1952,7.03,,,,156925272,36088,,,,
1953,6.65,,,,159725009,36190,,,,
1954,6.03,,,,162524746,33890,,,,
1955,6.06,,,,165324483,36688,,,,
1956,6.05,,,,168124220,37965,,,,
1957,5.73,,,,170923957,36932,,,,
1958,5.32,,,,173723694,35331,,,,
1959,5.17,,,,176523431,36223,,,,
1960,5.06,,,,179323175,36399,41368062,7806932,64,12.1
1961,4.92,,,,181721060,36285,43203510,7707284,65.37,11.78
1962,5.08,,,,184118945,38980,45038958,7607636,66.74,11.46
1963,5.18,,,,186516830,41723,46874406,7507988,68.11,11.14
1964,5.39,,,,188914715,45645,48709854,7408340,69.48,10.82
1965,5.3,,,,191312600,47089,50545302,7308692,70.85,10.5
1966,5.5,,,,193710485,50894,52380750,7209044,72.22,10.18
1967,5.35,,,,196108370,51559,54216198,7109396,73.59,9.86
1968,5.29,,,,198506255,53763,56051646,7009748,74.96,9.54
1969,5.18,,,,200904140,55043,57887094,6910100,76.33,9.22
1970,4.85,,,,203302031,53816,59722550,6810458,77.7,8.9
1971,4.57,,,,205626047,53907,61876145,6746918,78.34,8.65
1972,4.41,,,,207950063,55600,64029740,6683378,78.98,8.4
1973,4.2,,,,210274079,55096,66183335,6619838,79.62,8.15
1974,3.6,,,,212598095,46049,68336930,6556298,80.26,7.9
1975,3.43,,,,214922111,45500,70490525,6492758,80.9,7.65
1976,3.25,,,,217246127,45523,72644120,6429218,81.54,7.4
1977,3.26,,,,219570143,47878,74797715,6365678,82.18,7.15
1978,3.26,,,,221894159,50331,76951310,6302138,82.82,6.9
1979,3.34,,,,224218175,51093,79104905,6238598,83.46,6.65
1980,3.35,,,,226542199,51091,81258496,6175061,84.1,6.4
1981,3.17,,,,228758966,49301,83091939,6164514,84.34,6.29
1982,2.76,,,,230975733,43945,84925382,6153967,84.58,6.18
1983,2.58,,,,233192500,42589,86758825,6143420,84.82,6.07
1984,2.57,,,,235409267,44257,88592268,6132873,85.06,5.96
1985,2.47,,,,237626034,43825,90425711,6122326,85.3,5.85
1986,2.51,,,,239842801,46087,92259154,6111779,85.54,5.74
1987,2.41,,,,242059568,46390,94092597,6101232,85.78,5.63
1988,2.32,,,,244276335,47087,95926040,6090685,86.02,5.52
1989,2.17,,,,246493102,45582,97759483,6080138,86.26,5.41
1990,2.08,,,,248709873,44599,99592932,6069589,86.5,5.3
1991,1.91,,,,251981076,41508,,,,
1992,1.75,,,,255252279,39230,,,,
1993,1.75,,,,258523482,40134,,,,
1994,1.73,,,,261794685,40718,,,,
1995,1.72,,,,265065888,41770,,,,
1996,1.69,,,,268337091,42065,,,,
1997,1.65,,,,271608294,42013,,,,
1998,1.58,,,,274879497,41501,,,,
1999,1.55,,,,278150700,41717,,,,
2000,1.53,,,,281421906,41945,,,,
2001,1.51,,,,284154269,42196,,,,
2002,1.51,,,,286886632,43005,,,,
2003,1.48,,,,289618995,42884,,,,
2004,1.44,,,,292351358,42836,,,,
2005,1.46,,,,295083721,43510,,,,
2006,1.42,,,,297816084,42708,,,,
2007,1.36,,,,300548447,41059,,,,
2008,,,,,303280810,,,,,
2009,,,,,306013173,,,,,
2010,,,,,308745538,,,,,
