State,mexico,other_north,asia,africa,south_america,europe,oceania
Alabama,7337,739,448,85,252,104,67
Alaska,304,30,81,,105,51,4
Arizona,66301,2331,1037,16,420,563,394
Arkansas,7746,986,222,6,58,15,138
California,437662,51454,37033,264,7597,3820,2208
Colorado,29633,1569,1068,30,450,445,256
Connecticut,2159,2769,1034,37,3748,959,259
Delaware,1801,347,203,37,186,28,215
District of Columbia,387,1041,70,400,47,61,105
Florida,31879,38240,2834,103,30527,2259,742
Georgia,35723,7215,3054,274,3711,848,906
Hawaii,308,114,2617,0,82,69,425
Idaho,5907,212,88,4,113,99,53
Illinois,71619,2604,3958,147,1839,2547,521
Indiana,11625,1102,737,74,346,255,190
Iowa,4606,608,359,13,101,193,154
Kansas,9547,842,365,29,164,39,129
Kentucky,3379,790,324,18,127,291,179
Louisiana,2843,1741,386,10,499,109,68
Maine,15,81,88,,3,116,268
Maryland,3811,10462,2712,555,2416,502,1468
Massachusetts,1163,7589,2490,247,6249,1087,947
Michigan,9660,1429,2105,97,298,940,471
Minnesota,7347,756,1322,116,557,496,1052
Mississippi,2128,374,227,4,78,46,32
Missouri,5565,971,662,22,336,460,367
Montana,44,19,16,,21,8,0
Nebraska,5208,712,257,6,74,38,322
Nevada,24869,3044,1753,77,569,235,104
New Hampshire,258,183,102,14,346,146,97
New Jersey,14539,12142,6245,271,12851,1589,961
New Mexico,16286,478,86,11,80,51,7
New York,24167,29654,11275,679,18512,3396,1885
North Carolina,31782,6896,1508,135,1261,655,600
North Dakota,0,16,22,,0,61,127
Ohio,4700,1618,1375,126,596,794,810
Oklahoma,10938,1008,334,15,380,97,281
Oregon,18702,1418,899,7,264,667,198
Pennsylvania,6275,2996,2694,178,1982,985,923
Rhode Island,330,1969,193,46,481,147,244
South Carolina,7846,868,478,19,904,298,136
South Dakota,288,135,59,3,8,33,40
Tennessee,9944,2499,773,38,349,246,373
Texas,259880,24203,6184,452,4838,1261,1767
Utah,13616,1087,296,11,1277,185,283
Vermont,30,135,50,,0,31,36
Virginia,5821,9910,3846,150,3940,601,968
Washington,27586,1682,2895,38,436,1713,747
West Virginia,94,211,106,,98,34,15
Wisconsin,9667,421,995,29,389,312,138
Wyoming,758,23,59,0,51,5,0
